BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Barnet,Archives,Leo Baeck College Library,The Sternberg Centre for Judaism ,80 East End Road,,E09000003,Barnet,51.59527665319985,-0.18932636865181554,525515.3958763801,190044.54117272247,200033491,E05000051,Finchley Church End,http://lbc.ac.uk/library-resources/,E09000003,12/27/2020
Barnet,Archives,"Royal Air Force Museum, Department of Research and Information Services",Grahame Park Way,,,E09000003,Barnet,51.59894703133823,-0.23816390141069846,522122.96679611725,190370.02108279243,200049886,E05000046,Colindale,https://www.rafmuseum.org.uk/research/research-enquiries.aspx,E09000003,12/27/2020
Barnet,Archives,King Alfred School,Manor Wood North End Road,,,E09000003,Barnet,51.569670630519,-0.1844589462330991,525923.2557630172,187205.42194436182,200086130,E05000052,Garden Suburb,http://www.kingalfred.org.uk/,E09000003,12/27/2020
Barnet,Archives,Barnet Museum,31 Wood Street,,,E09000003,Barnet,51.65287654051162,-0.20229626137235066,524459.5061609937,196427.83943589538,200128241,E05000060,Underhill,http://www.barnetmuseum.co.uk/,E09000003,12/27/2020
Barnet,Archives,Middlesex University: Museum of Domestic Design & Architecture Collections Centre,9 Boulevard Drive ,Beaufort Park,Colindale,E09000003,Barnet,51.596048835837145,-0.2416367863051352,521890.19685924257,190041.94117201766,200141126,E05000046,Colindale,https://moda.mdx.ac.uk/,E09000003,12/27/2020
Barnet,Archives,Middlesex University: Sheppard Library,The Burroughs,,,E09000003,Barnet,51.590455698696246,-0.22959233023945164,522739.44662875327,189440.07133672305,200153196,E05000055,Hendon,https://unihub.mdx.ac.uk/study/library/library-services/library-opening-hours,E09000003,12/27/2020
Barnet,Archives,Jews College Library,44a Albert Road,,,E09000003,Barnet,51.58821377787244,-0.21373921104105997,523843.6863274869,189217.4813959847,200219174,E05000055,Hendon,https://www.lsjs.ac.uk/about-our-library.php,E09000003,12/27/2020
Barnet,Archives,Barnet Local Studies and Archives,The Burroughs,,,E09000003,Barnet,51.58859384731274,-0.22893283174939041,522790.14661426726,189234.13139177137,200222812,E05000055,Hendon,https://www.barnet.gov.uk/citizen-home/libraries/local-studies-and-archives.html,E09000003,12/27/2020
Barnet,Artists workspaces,,"5 Nether Street, Tally Ho Corner",North Finchley,,E09000003,Barnet,51.61281643920563,-0.17669950896364456,526341.305649239,192016.81063494273,200196017,E05000061,West Finchley,,E09000003,12/27/2020
Barnet,Arts centres,Arts Depot ,5 Nether St,North Finchley,,E09000003,Barnet,51.61281643920563,-0.17669950896364456,526341.305649239,192016.81063494273,200196017,E05000061,West Finchley,https://www.artsdepot.co.uk/,E09000003,12/27/2020
Barnet,Cinemas,Phoenix (East Finchley),,52 High Road,East Finchley,E09000003,Barnet,51.588507610795816,-0.16365964299659067,527312.0355158176,189336.17148451367,000200061366,E05000049,East Finchley,,E09000003,12/27/2020
Barnet,Cinemas,Vue North Finchley,Great North Leisure Park,Chaplin Square,,E09000003,Barnet,51.603837978040694,-0.1732859713647746,526602.5957063192,191024.2609939052,000200217093,E05000063,Woodhouse,,E09000003,12/27/2020
Barnet,Cinemas,Vue North Finchley,Great North Leisure Park,Chaplin Square,,E09000003,Barnet,51.603837978040694,-0.1732859713647746,526602.5957063192,191024.2609939052,000200217093,E05000063,Woodhouse,,E09000003,12/27/2020
Barnet,Community centres,Hope Corner Community Centre,185 Mays Lane,Barnet,NA,E09000003,Barnet,51.645852708160696,-0.2029835094130548,524431.1762515975,195645.57974231045,10091041141,E05000060,Underhill,,E09000003,12/27/2020
Barnet,Community centres,North Road Community Centre,230 Burnt Oak Broadway,Barnet,NA,E09000003,Barnet,51.604048124028076,-0.2713384921212672,519812.0775306185,190882.54106131993,200018286,E05000044,Burnt Oak,,E09000003,12/27/2020
Barnet,Community centres,Tarling Road Community Centre,20 Fallows Close,Barnet,NA,E09000003,Barnet,51.59743720641826,-0.17490050660638898,526508.5657036613,190309.6712220874,200040351,E05000049,East Finchley,,E09000003,12/27/2020
Barnet,Community centres,Barnet Multi Cultural Community Centre,Algernon Road,Barnet,NA,E09000003,Barnet,51.579065314488375,-0.23637969669108705,522299.8568237511,188162.05181008735,200166018,E05000062,West Hendon,http://www.barnetmcc.moonfruit.com/venue-hire/4527035932,E09000003,12/27/2020
Barnet,Community centres,New Barnet Community,50 Victoria Road,Barnet,NA,E09000003,Barnet,51.65056125525266,-0.16897678648691733,526770.7756528843,196227.62957680144,200120427,E05000048,East Barnet,http://www.newbarnet.org.uk/,E09000003,12/27/2020
Barnet,Community centres,Kent Hall ,Westcroft Way,Barnet,NA,E09000003,Barnet,51.55707366911273,-0.2087913047521978,524271.32632153213,185762.99246621178,200223249,E05000045,Childs Hill,,E09000003,12/27/2020
Barnet,Community centres,Grahame Park Community Centre,12 The Concourse,Barnet,NA,E09000003,Barnet,51.60186037240821,-0.24441125601883487,521682.5370449836,190683.6111216701,200114937,E05000046,Colindale,,E09000003,12/27/2020
Barnet,Community centres,West Hendon Community Hub,Marsh Drive,Barnet,NA,E09000003,Barnet,51.57956684007648,-0.24409838985111543,521763.7269651502,188204.97178197175,200156706,E05000062,West Hendon,,E09000003,12/27/2020
Barnet,Community centres,Green Man Community Centre,Strawberry Vale,Barnet,NA,E09000003,Barnet,51.600942389594636,-0.1726142005312696,526657.1656377459,190703.42111571645,200195077,E05000049,East Finchley,http://greenmancentre.wordpress.com/,E09000003,12/27/2020
Barnet,Community centres,Sangam Community Centre,210 Burnt Oak Broadway,Barnet,NA,E09000003,Barnet,51.603524654292755,-0.270461996472333,519874.147520936,190825.761047368,200018284,E05000044,Burnt Oak,,E09000003,12/27/2020
Barnet,Community centres,Rainbow Centre,24 Dollis Valley Drive, Barnet,NA,E09000003,Barnet,51.645151336262195,-0.19633004690092593,524893.4161168346,195578.9297362222,200202321,E05000060,Underhill,http://www.rainbowcentrebarnet.wordpress.com,E09000003,12/27/2020
Barnet,Community centres,Community Focus,Friary House, Friary Park, Friary Road,E09000003,Barnet,51.619339780559365,-0.16186132131276096,527350.3754684648,192767.99056011467,200220388,E05000047,Coppetts,,E09000003,12/27/2020
Barnet,Community centres,Friend in Need Community Centre,East Barnet Baptist Church,Crescent Road,Barnet,E09000003,Barnet,51.64340081168338,-0.16499206114879364,527066.4255362563,195438.26980143035,200028180,E05000048,East Barnet,,E09000003,12/27/2020
Barnet,Dance performance venues,Arts Depot,5 Nether Street,,,E09000003,Barnet,51.61281643920563,-0.17669950896364456,526341.305649239,192016.81063494273,200196017,E05000061,West Finchley,http://www.artsdepot.co.uk,E09000003,12/27/2020
Barnet,Dance rehearsal studios,Innovation Dance Studios Finchley,2A Lodge Lane,,,E09000003,Barnet,51.61634744897925,-0.17729644199020747,526290.1856625313,192408.45052845922,10091041343,E05000061,West Finchley,,E09000003,12/27/2020
Barnet,Dance rehearsal studios,Studio 45,115A Brunswick Park Roa,,,E09000003,Barnet,51.62293182973438,-0.14746378327141144,528336.9051050524,193192.62031650764,200219587,E05000043,Brunswick Park,http://www.studio45.london,E09000003,12/27/2020
Barnet,Dance rehearsal studios,Arts Depot,5 Nether Street,,,E09000003,Barnet,51.61281643920563,-0.17669950896364456,526341.305649239,192016.81063494273,200196017,E05000061,West Finchley,http://www.artsdepot.co.uk,E09000003,12/27/2020
Barnet,Fashion and design,McConnell Design,76 Leicester Road,,,E09000003,Barnet,51.591774837646646,-0.16109770812404012,527480.365343154,189703.96126291988,200072640,E05000049,East Finchley,http://www.mcconnelldesign.co.uk/,E09000003,12/27/2020
Barnet,Jewellery design,Robert Glenn Limited,Churchill House,137-139 Brent Street,,E09000003,Barnet,51.58858198627091,-0.221732466712805,523288.9666003779,189244.92151026474,200147041,E05000055,Hendon,,E09000003,12/27/2020
Barnet,Jewellery design,Amberbergs LTD.,1st Floor 2 Woodberry Grove,,,E09000003,Barnet,51.61106370281906,-0.1784211285665346,526226.9658027424,191818.9208107033,10091880077,E05000061,West Finchley,,E09000003,12/27/2020
Barnet,Jewellery design,B.E. Cook Limited,431 High Road,,,E09000003,Barnet,51.602035687533125,-0.17439262853367063,526530.9657209422,190821.92108340288,200060663,E05000063,Woodhouse,,E09000003,12/27/2020
Barnet,Jewellery design,Bossman Gems & Jewellery Limited,7a High Street,Barnet,,E09000003,Barnet,51.65132532179379,-0.19726245148075042,524811.9661881304,196263.91960210766,200062305,E05000060,Underhill,http://www.bossmangemsandjewellery.com,E09000003,12/27/2020
Barnet,Jewellery design,Codis Maya Limited,1st Floor 314 Regents Park Road,Finchley,,E09000003,Barnet,51.59945565971353,-0.19536065897319244,525085.9661132642,190498.92117052805,200209140,E05000051,Finchley Church End,http://www.codismaya.com,E09000003,12/27/2020
Barnet,Jewellery design,Danicrest Limited,Aston House,Cornwall Avenue,,E09000003,Barnet,51.605001006342086,-0.18933559146866358,525487.9660036864,191125.92099967418,200195383,E05000061,West Finchley,,E09000003,12/27/2020
Barnet,Jewellery design,Earthlings Jewellery Ltd,9a Cat Hill,Barnet,,E09000003,Barnet,51.643148145389496,-0.1622627659903806,527255.9655239602,195414.9198320891,200019756,E05000048,East Barnet,,E09000003,12/27/2020
Barnet,Jewellery design,J.M.G. Tubing Co. Limited,First Floor,Winston House,,E09000003,Barnet,51.60062761928768,-0.19496763956993599,525109.9661064507,190629.9211348344,200098008,E05000051,Finchley Church End,,E09000003,12/27/2020
Barnet,Jewellery design,Jewellery Cave Limited,2nd Floor Gadd House,Arcadia Avenue,,E09000003,Barnet,51.59917117022676,-0.19440452268037772,525152.9660952362,190468.92117884703,200200255,E05000051,Finchley Church End,http://www.jewellerycave.co.uk,E09000003,12/27/2020
Barnet,Jewellery design,K. & R. Manufacturing Limited,Stirling House,9 Burroughs Gardens,,E09000003,Barnet,51.58689917586635,-0.2305747716464161,522680.9667655187,189042.9215651797,200152558,E05000055,Hendon,http://www.krwholesale.com,E09000003,12/27/2020
Barnet,Jewellery design,Lara Heems Ltd,Building 3,North London Business Park,,E09000003,Barnet,51.625916147339176,-0.15235467574779263,527989.9653210466,193515.9203514491,10093299684,E05000043,Brunswick Park,,E09000003,12/27/2020
Barnet,Jewellery design,Lili Jewels Ltd,42 Lytton Road,Barnet,,E09000003,Barnet,51.651557420465494,-0.17561261574755233,526308.9657816242,196326.9195871472,10091786729,E05000056,High Barnet,,E09000003,12/27/2020
