BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Bexley,Archives,Bexley Local Studies and Archive Centre,Central Library ,Townley Road ,NA,E09000004,Bexley,51.45599566053884,0.14377580941488352,549039.9594772902,175180.92521058314,100023000000,E05011219,Bexleyheath,https://www.bexley.gov.uk/services/archives-and-local-history,E09000004,12/27/2020
Bexley,Cinemas,Cineworld Bexleyheath,,28-70 Broadway,,E09000004,Bexley,51.45608878955474,0.14998418285968407,549470.9594821713,175203.92532668292,010011845030,E05011219,Bexleyheath,www.cineworld.co.uk,E09000004,12/27/2020
Bexley,Community centres,Outreach Centre (Youth & Family Centre),West Street, Erith,NA,E09000004,Bexley,51.48526517703671,0.17371185118674753,551022.9590617485,178496.9244304073,10011847777,E05000075,Erith,,E09000004,12/27/2020
Bexley,Community centres,Sidcup Youth Centre,Burnt Oak Lane, Sidcup, Kent,E09000004,Bexley,51.43811182774315,0.10476667052647033,546387.1303059799,173113.66588388663,10090792526,E05000083,Sidcup,,E09000004,12/27/2020
Bexley,Community centres,Cray Youth & Community Centre,150 Rectory Lane, Sidcup, Kent,E09000004,Bexley,51.42039691224981,0.11973939692935001,547484.729981171,171173.83639496198,100022918863,E05000072,Cray Meadows,,E09000004,12/27/2020
Bexley,Community centres,North Cray Neighborhood Centre,1 Davis Way, Sidcup, Kent,E09000004,Bexley,51.417751943365786,0.12876755648941415,548120.9598497257,170897.9264967228,10011863608,E05000072,Cray Meadows,https://www.youthactiondiversitytrust.co.uk/,E09000004,12/27/2020
Bexley,Community centres,Hurst Community Centre,Hurst Road, Bexley, Kent,E09000004,Bexley,51.43878425812224,0.12445050900674677,547752.959951743,173227.92586416978,10023304339,E05000081,St. Mary's,,E09000004,12/27/2020
Bexley,Community centres,Crayford Community Centre,175 Townhall Square,Bexley,NA,E09000004,Bexley,51.449914170203115,0.180103802641422,551583.8289072689,174579.17549737834,10090792770,E05000071,Crayford,https://arena.yourlondonlibrary.net/web/bexley/ccc,E09000004,12/27/2020
Bexley,Community centres,Slade Green and Howbury Community Centre,Chrome Road, Slade Green, Kent,E09000004,Bexley,51.47312348543837,0.19098196406310414,552262.3887182947,177182.55479376222,10090794390,E05000079,North End,,E09000004,12/27/2020
Bexley,Community centres,St Michaels Community Centre,Wrotham Road, Welling, Kent,E09000004,Bexley,51.46935967435321,0.1215089351934496,547449.9600352491,176621.92494298564,100022920229,E05000082,St. Michael's,,E09000004,12/27/2020
Bexley,Community centres,Parkside Community Centre,Parkside Hall, 1 Parkside Cross, Bexleyheath,E09000004,Bexley,51.464150588444326,0.17220372574296186,550987.9590727831,176145.9250726272,100022923156,E05000064,Barnehurst,,E09000004,12/27/2020
Bexley,Community centres,Falconwood Community and Childrens Centre,32-38 Falconwood Parade, Welling, Kent,E09000004,Bexley,51.45720843869893,0.09309080803739665,545514.9605582963,175213.92532507994,100023523666,E05000076,Falconwood and Welling,,E09000004,12/27/2020
Bexley,Community centres,Belvedere Community Centre,Mitchell Close, Belvedere, Kent,E09000004,Bexley,51.491433949241234,0.15864936468672167,549956.9593520348,179151.92425376608,200002784025,E05000065,Belvedere,http://belvederecommunitycentre.org.uk/,E09000004,12/27/2020
Bexley,Community centres,Crayford and Barnehurst Youth Centre,Woodside Road, Bexleyheath,NA,E09000004,Bexley,51.45722497682084,0.16739782398719555,550676.9591551812,175365.92528427177,10011847892,E05000064,Barnehurst,,E09000004,12/27/2020
Bexley,Community centres,Sidcup Workin Mesn Club,169 Main Road,Bexley,NA,E09000004,Bexley,51.42794354573389,0.0931909513602503,545614.9605331582,171959.92620778142,100022919352,E05000078,Longlands,https://www.sidcupwmc.co.uk/,E09000004,12/27/2020
Bexley,Community centres,Danson Youth Centre,Brampton Road, Bexleyheath, Kent,E09000004,Bexley,51.46167943578867,0.12598960610891732,547785.959942509,175776.92517188832,100022922984,E05000073,Danson Park,http://www.dansonyouth.org.uk/,E09000004,12/27/2020
Bexley,Community centres,Welling Youth Centre,Lovel Avenue, Welling, Kent,E09000004,Bexley,51.46871712971782,0.10977302822697038,546636.9602569216,176526.9249684704,100022920782,E05000074,East Wickham,,E09000004,12/27/2020
Bexley,Community centres,"The Link, Thamesmead",Belvedere Road, Thamesmead, London,E09000004,Bexley,51.50064535222482,0.12173228845667318,547364.5900627694,180101.3139501565,10090793545,E05000084,Thamesmead East,,E09000004,12/27/2020
Bexley,Community centres,Northumberland Heath Baptist Church,Belmont Road, Northumberland Heath, Kent,E09000004,Bexley,51.472634821959105,0.15689703730643298,549896.9593684603,177057.92482396914,100022923689,E05000080,Northumberland Heath,https://nh-bc.org.uk/contact-us/,E09000004,12/27/2020
Bexley,Dance rehearsal studios,Sapphire Studios,First Floor ,4-12 Pickford Lane,,E09000004,Bexley,51.464043477548906,0.13298133793181358,548263.9596900061,176053.92497442418,100024000000,E05011223,Crook Log,http://www.sapphirestudios.co.uk/contact/,E09000004,12/27/2020
Bexley,Fashion and design,Blue I Studio,Thames Innovation Centre,2 Veridon Way,,E09000004,Bexley,51.495863245808145,0.14220427011658113,548800.959545026,179610.9240075142,10011862856,E05000084,Thamesmead East,https://www.blue-i-studio.co.uk/contact-us/,E09000004,12/27/2020
Bexley,Jewellery design,Bespoke Studios Ltd,19 Montpelier Avenue,Bexley,,E09000004,Bexley,51.44206990551161,0.12526501843046392,547798.9599387994,173594.9257657262,100022922173,E05011221,Blendon & Penhill,,E09000004,12/27/2020
Bexley,Jewellery design,Nikolas Michael Limited,228 Broadway,Bexleyheath,,E09000004,Bexley,51.45774505088628,0.13809988136730603,548639.9597077639,175363.9252830369,100022922542,E05011219,Bexleyheath,,E09000004,12/27/2020
Bexley,Jewellery design,Smith Grey Ltd,Onega House,112 Main Road,,E09000004,Bexley,51.426195030453734,0.0989369750178962,546019.9604228449,171776.92625807587,100022919455,E05011227,Longlands,,E09000004,12/27/2020
Bexley,Libraries,Sidcup Library,Hadlow Road,Sidcup,,E09000004,Bexley,51.42584285174532,0.10503442515063745,546444.9603073462,171749.9262663201,100022918511,E05011230,Sidcup,,E09000004,12/27/2020
Bexley,Libraries,Bexley Community Library,Bourne Road,Bexley,,E09000004,Bexley,51.44276353035591,0.15084001030658845,549573.9594555409,173723.92573157488,100022922056,E05011229,St. Mary's & St. James,,E09000004,12/27/2020
Bexley,Libraries,Blackfen Community Library,Blackfen Road,Sidcup,,E09000004,Bexley,51.45018690877323,0.10442832962316899,546325.0103262541,174455.71550655738,10023305013,E05011220,Blackfen & Lamorbey,,E09000004,12/27/2020
Bexley,Libraries,Crayford Library,Townhall Square,Dartford,,E09000004,Bexley,51.449914170203115,0.180103802641422,551583.8289072689,174579.17549737834,10090792770,E05011222,Crayford,,E09000004,12/27/2020
Bexley,Libraries,Central Library,Townley Road,Bexleyheath,,E09000004,Bexley,51.45599566160382,0.14377581122238575,549039.9595993898,175180.92533268261,100022922362,E05011219,Bexleyheath,,E09000004,12/27/2020
Bexley,Libraries,Welling Library,Bellegrove Road,Welling,,E09000004,Bexley,51.462531706015504,0.10617634497147971,546406.9603189962,175831.92515727284,100022920830,E05011226,Falconwood & Welling,,E09000004,12/27/2020
Bexley,Libraries,North Heath Community Library,Mill Road,Erith,,E09000004,Bexley,51.47329976308472,0.16132036936964583,550201.9592869194,177140.92480066943,10011846473,E05011228,Northumberland Heath,,E09000004,12/27/2020
Bexley,Libraries,Slade Green Community Library,Chrome Road,Erith,,E09000004,Bexley,51.47312348543837,0.19098196406310414,552262.3887182947,177182.55479376222,10090794390,E05011231,Slade Green & Northend,,E09000004,12/27/2020
Bexley,Libraries,Bostall Community Library,King Harolds Way,Bexleyheath,,E09000004,Bexley,51.47570024883505,0.12991099614410725,548012.9598784036,177343.92474693077,100022923151,E05011233,West Heath,,E09000004,12/27/2020
Bexley,Libraries,Erith Library,Erith High Street,Erith,,E09000004,Bexley,51.47912430033947,0.18138367417256115,551575.9589120407,177829.92461282713,10023303354,E05011225,Erith,,E09000004,12/27/2020
Bexley,Libraries,Upper Belvedere Community Library,Woolwich Road,Belvedere,,E09000004,Bexley,51.48392800841441,0.14524529572103692,549050.959595881,178289.92448752397,100022921251,E05011218,Belvedere,,E09000004,12/27/2020
Bexley,Libraries,Thamesmead Library,Binsey Walk,,,E09000004,Bexley,51.50032934688435,0.12260186703889121,547425.9600412401,180067.9240056633,100020239019,E05011232,Thamesmead East,,E09000004,12/27/2020
Bexley,Making and manufacturing,White Wall,The Old Cannon Factory,10A Europa Estate Fraser Road,,E09000004,Bexley,51.483065352852826,0.1706113331728226,550814.9591189218,178245.92449844,1.00023E+11,E05000075,Erith,http://thewhitewall.co.uk,E09000004,12/27/2020
Bexley,Making and manufacturing,Maybrey Reliance,Reliance House,Crabtree Manorway South,,E09000004,Bexley,51.493107326877976,0.15861326195429107,549948.9593544777,179337.9242031488,1.00024E+11,E05000065,Belvedere,https://www.maybrey.co.uk,E09000004,12/27/2020
Bexley,Museums and public galleries,Crossness Engines,The Old Works. Thames Water S.T.W.,Bazalgette Way,Abbey Wood,E09000004,Bexley,51.50580577876915,0.13401024335801698,548199.9598288541,180699.92383488367,10091915267,E05011232,Thamesmead East,http://www.crossness.org.uk/,E09000004,12/27/2020
Bexley,Museums and public galleries,Hall Place and Gardens,Bourne Road,Bexley,Kent,E09000004,Bexley,51.44803112560768,0.1602553990405088,550210.9592804892,174328.92556404375,100020195288,E05011222,Crayford,https://www.hallplace.org.uk/,E09000004,12/27/2020
