BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Brent,Archives,Brent Museum and Archives,The Library at Willesden Green ,95 High Road,Willesden,E09000005,Brent,51.54665039984011,-0.22892150078570994,522903.96658540505,184569.9226591483,202149110,E05000105,Willesden Green,https://www.brent.gov.uk/archives,E09000005,12/27/2020
Brent,Artists workspaces,Second Floor Studios & Arts,Palace Arts Way,,,,,51.55954184637806,-0.2832765486319462,519101.62411703425,185913.7058933862,,,,,E09000005,12/27/2020
Brent,Artists workspaces,Harrow Road,733 Harrow Road,Kensal Green,,E09000005,Brent,51.530835474919115,-0.23031426855245707,522849.9665976183,182808.92313684284,202199583,E05000092,Kensal Green,www.acme.org.uk,E09000005,12/27/2020
Brent,Artists workspaces,,6 scrubs Lane,,,E09000005,Brent,51.532049761750315,-0.2387017553079721,522264.9667558851,182929.9231039536,202040584,E05000092,Kensal Green,http://www.lightfactoryworkshops.co.uk,E09000005,12/27/2020
Brent,Artists workspaces,,"Wembly Point, 1 Harrow Rd",,,E09000005,Brent,51.54461353651682,-0.2738966626335012,519790.96743212966,184268.9227425948,202197437,E05000102,Tokyngton,createspacelondon.org,E09000005,12/27/2020
Brent,Artists workspaces,Barham Park,660 Harrow Rd,,,E09000005,Brent,51.55232007800864,-0.31099268904461874,517198.968135039,185065.92252524843,202209700,E05000101,Sudbury,www.acava.org,E09000005,12/27/2020
Brent,Artists workspaces,Honeypot Lane,"1-2 Palm Court, 1-2 Tulip Court, 1 Acacia Court",,,E09000005,Brent,51.59056613948688,-0.28381962272148176,518982.96765337174,189362.92135742254,202208355,E05000099,Queensbury,www.acava.org,E09000005,12/27/2020
Brent,Arts centres,The Library at Willesdon Green,95 High Road,Willesden ,,E09000005,Brent,51.54665039984011,-0.22892150078570994,522903.96658540505,184569.9226591483,202149110,E05000105,Willesden Green,https://www.brent.gov.uk/your-council/the-library-at-willesden-green/,E09000005,12/27/2020
Brent,Cinemas,Cineworld Cinema London Wembley,Stadium Way,,,,,51.55685619721717,-0.28371052470183833,519078.5460051069,185614.34662150295,,,,,E09000005,12/27/2020
Brent,Cinemas,The Lexi Cinema,,194b Chamberlyne Road,Kensal Rise,E09000005,Brent,51.537589161089834,-0.2225971158193454,523366.96658047015,183572.92305263336,000202195465,E05000087,Brondesbury Park,,E09000005,12/27/2020
Brent,Cinemas,Tricycle Cinema,,269 Kilburn High Road,,E09000005,Brent,51.54297499935986,-0.20013477279500091,524909.9661632153,184209.92287983088,000202124574,E05000094,Kilburn,,E09000005,12/27/2020
Brent,Cinemas,Cineworld Wembley,,Wembley Park Blvd,,E09000005,Brent,51.556687143992036,-0.28347998392793294,519094.9677409852,185595.9225018323,000202206309,E05000102,Tokyngton,www.cineworld.co.uk,E09000005,12/27/2020
Brent,Commercial galleries,Brent Artists Resource,4⁄5 Queenâs Parade,NA,NA,E09000005,Brent,51.54766993458268,-0.22379059093534182,523256.96661167673,184691.9227482378,202054057,E05000105,Willesden Green,http://www.brentartistsresource.org.uk/#,E09000005,12/27/2020
Brent,Community centres,Woodheyes,34 Woodheyes Road, London,NA,E09000005,Brent,51.55134633377537,-0.2566788661552979,520966.9672321029,185045.9226521795,202029222,E05000100,Stonebridge,,E09000005,12/27/2020
Brent,Community centres,Unity Centre,103 Church Road, London,NA,E09000005,Brent,51.54434828071018,-0.2535284959163183,521203.9671662856,184272.9228637932,202146192,E05000091,Harlesden,http://www.unitycentre.org.uk,E09000005,12/27/2020
Brent,Community centres,The Stonebridge Hub,6 Hillside,Brent,NA,E09000005,Brent,51.541506532651375,-0.26079023342147917,520707.96730307385,183944.92295354337,202196460,E05000100,Stonebridge,,E09000005,12/27/2020
Brent,Community centres,Pakistan Community Centre (Pakistan Welfare Association),Marley Walk, Station Parade, London,E09000005,Brent,51.55009335969699,-0.22467696928692527,523188.9666302561,184959.92267438996,202043209,E05000089,Dudden Hill,,E09000005,12/27/2020
Brent,Community centres,Preston and Mall,May Lane, 237 The Mall, Kenton,E09000005,Brent,51.577605255588345,-0.2879308197068259,518731.967840772,187914.92187170318,202071290,E05000086,Barnhill,,E09000005,12/27/2020
Brent,Community centres,Kings Hall,155 Harlesden Road, Willesden, London,E09000005,Brent,51.54466413097958,-0.23436364147547573,522531.9668092586,184339.92284390348,202090623,E05000105,Willesden Green,http://khcc.btck.co.uk/,E09000005,12/27/2020
Brent,Community centres,The Granville Plus Centre,The Granville Plus Centre, 80 Granville Road, Kilburn,E09000005,Brent,51.53276317916913,-0.1974522972032938,525123.9661004528,183078.92318690615,202093923,E05000094,Kilburn,http://granvillecommunitykitchen.wordpress.com or http://www.theotherwiseclub.org.uk/,E09000005,12/27/2020
