BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Bromley,Cinemas,Odeon Beckenham,,The High Street,,E09000006,Bromley,51.407106814193064,-0.031376362986825404,537017.9628681395,169402.92690423894,010003626016,E05000113,Copers Cope,,E09000006,12/27/2020
Bromley,Commercial galleries,Bethlem Gallery,Bethlem Royal Hospital,Monks Orchard Road,NA,E09000006,Bromley,51.38092832778922,-0.029725744310886083,537210.9628151646,166494.92769622878,10003615210,E05000120,Kelsey and Eden Park,http://bethlemgallery.com/#,E09000006,12/27/2020
Bromley,Community centres,Darrick Wood Community Centre,Broadwater Gardens,Bromley,NA,E09000006,Bromley,51.36487121448556,0.06922550574469624,544146.9609315136,164898.92812660045,10003626647,E05000118,Farnborough and Crofton,http://www.facebook.com/darrick.wood,E09000006,12/27/2020
Bromley,Community centres,Crofton Halls,Crofton Halls, Crofton Road, Orpington,E09000006,Bromley,51.37331891460045,0.08727888820394906,545376.960597308,165873.9278622811,10003626864,E05000118,Farnborough and Crofton,http://www.mytimeactive.co.uk/leisure/crofton-halls,E09000006,12/27/2020
Bromley,Community centres,Windsor Drive Community Centre (Chelsfield),Windsor Drive, Orpington,NA,E09000006,Bromley,51.35645836010117,0.10430886230977561,546615.9602601776,164032.92836222897,100022899499,E05000110,Chelsfield and Pratts Bottom,,E09000006,12/27/2020
Bromley,Community centres,Cotmandene Community Resource Centre,64 Cotmandene Crescent, St. Paul's Cray, Orpington,E09000006,Bromley,51.40397420464975,0.10490707304895443,546505.9602909227,169317.92692673393,100022898298,E05000115,Cray Valley West,http://www.bromley.gov.uk/CotmandeneCommunityCentre,E09000006,12/27/2020
Bromley,Community centres,Assembly Halls - West Wickham,Assembly Halls, 18 Gates Green Road, West Wickham,E09000006,Bromley,51.368492408259605,0.004192592664182947,539608.9621649754,165175.92805334355,100022897671,E05000119,Hayes and Coney Hall,,E09000006,12/27/2020
Bromley,Community centres,Sanderson Hall - St Paul's Cray,Mickleham Road, St Paul's Cray,NA,E09000006,Bromley,51.40491723204175,0.10147067242895338,546263.9603571158,169415.9269006059,100022898279,E05000115,Cray Valley West,http://www.sandersonhall.com/,E09000006,12/27/2020
Bromley,Community centres,Orpington Village Hall,311 High Street, Orpington,NA,E09000006,Bromley,51.373565315408534,0.0981525496571572,546132.9603938423,165922.9278510596,10070007136,E05000122,Orpington,http://www.orpingtonvillagehall.org.uk,E09000006,12/27/2020
Bromley,Community centres,Beckenham Public Hall,4 Bromley Road,Bromley,NA,E09000006,Bromley,51.408581401823696,-0.024410965574736702,537497.962737482,169579.92685701477,100022896627,E05000113,Copers Cope,http://www.mytimeactive.co.uk/leisure/beckenham-public-hall,E09000006,12/27/2020
Bromley,Community centres,Wickham Hall,Sussex Road,Bromley,NA,E09000006,Bromley,51.37750007196247,-0.019454738066216035,537935.9626176574,166132.92779317015,100022897602,E05000127,West Wickham,http://www.wickhamhall.org.uk,E09000006,12/27/2020
Bromley,Community centres,Downe Village Hall,The Village Hall, 24 High Street, Downe,E09000006,Bromley,51.33570528472805,0.0539874208218451,543176.9611954675,161625.92901845922,100022899568,E05000117,Darwin,,E09000006,12/27/2020
Bromley,Community centres,Hayes Village Hall,Hayes Street, Bromley,NA,E09000006,Bromley,51.378597925708306,0.018471572147151467,540571.9619016069,166326.9277403158,100023527434,E05000119,Hayes and Coney Hall,,E09000006,12/27/2020
Bromley,Community centres,Farnborough Village Hall,65 High Street, Farnborough, Orpington,E09000006,Bromley,51.35959527887524,0.06753721660401267,544045.9609593211,164308.92828974803,100023528480,E05000118,Farnborough and Crofton,,E09000006,12/27/2020
Bromley,Community centres,Mottingham Community and Learning Shop - Rooms,1 - 2, Cranley Parade, Beaconsfield Road,E09000006,Bromley,51.427420700756265,0.04693239340949716,542400.9614075623,171810.926250041,100023528178,E05000121,Mottingham and Chislehurst North,http://www.bromley.gov.uk/MottinghamCommunityShop,E09000006,12/27/2020
Bromley,Community centres,Mountfield Community Centre,17 Sandway Road,Bromley,NA,E09000006,Bromley,51.393922438427225,0.11626241143062811,547327.9600682852,168222.9272250592,10003626729,E05000114,Cray Valley East,,E09000006,12/27/2020
Bromley,Community centres,Keston Village Hall,Heathfield Road,Bromley,NA,E09000006,Bromley,51.3563773916508,0.031988072303382305,541580.9616295446,163881.92840547668,10003615873,E05000108,Bromley Common and Keston,http://www.kestonvillagehall.org.uk,E09000006,12/27/2020
Bromley,Community centres,Garden Estates Association of Petts Wood,36 Woodhurst Avenue,Bromley,NA,E09000006,Bromley,51.38848935834339,0.06955670802619514,544095.9609468618,167525.9274146484,10003626246,E05000124,Petts Wood and Knoll,https://www.bromley.gov.uk/directory_record/1210436/garden_estates_association_of_petts_wood/category/131/community_halls,E09000006,12/27/2020
