BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Camden,Archives,Working Mens College,Crowndale Road,,,E09000007,Camden,51.53523861934623,-0.1360298116422288,529376.964826551,183460.92296196608,5005485,E05000143,St. Pancras and Somers Town,,E09000007,12/27/2020
Camden,Archives,Wellcome Collection,183 Euston Road,,,E09000007,Camden,51.52589757360404,-0.13391745499090352,529549.9647789886,182425.92324462504,5083806,E05000129,Bloomsbury,https://wellcomecollection.org/,E09000007,12/27/2020
Camden,Archives,English National Opera Archive,185 Broadhurst Gardens,,,E09000007,Camden,51.546189420086314,-0.19046015216857629,525571.9658577302,184583.9226557511,5082898,E05000145,West Hampstead,https://www.eno.org/,E09000007,12/27/2020
Camden,Archives,London University: UCL School of Slavonic and East European Studies,16 Taviton Street,,,E09000007,Camden,51.5253232823771,-0.13173528673594687,529702.9647373258,182365.92326056637,5007450,E05000129,Bloomsbury,https://www.ucl.ac.uk/ssees/,E09000007,12/27/2020
Camden,Archives,Magistrates Association,28 Fitzroy Square,,,E09000007,Camden,51.522596994045905,-0.14069786058328965,529088.9649020963,182046.92334625148,5008666,E05000129,Bloomsbury,https://www.magistrates-association.org.uk/,E09000007,12/27/2020
Camden,Archives,Freud Museum,20 Maresfield Gardens,,,E09000007,Camden,51.548421887860975,-0.17724635523895355,526481.9656110811,184854.9225833427,5012934,E05000133,Frognal and Fitzjohns,https://www.freud.org.uk/,E09000007,12/27/2020
Camden,Archives,Keats House,Keats Grove Hampstead,,,E09000007,Camden,51.555569759537,-0.16793017978542632,527107.9654404335,185665.92236346728,5015415,E05000135,Hampstead Town,https://www.cityoflondon.gov.uk/things-to-do/keats-house/Pages/default.aspx,E09000007,12/27/2020
Camden,Archives,London University: Senate House Library,Senate House Malet Street,,,E09000007,Camden,51.520643622744345,-0.1286980244626283,529926.9646748579,181850.92339879804,5016035,E05000129,Bloomsbury,https://www.senatehouselibrary.ac.uk/,E09000007,12/27/2020
Camden,Archives,London Mathematical Society,De Morgan House ,57-58 Russell Square,,E09000007,Camden,51.521177419868856,-0.1243949459328416,530223.9645946934,181917.92338010436,5083525,E05000129,Bloomsbury,https://www.lms.ac.uk/,E09000007,12/27/2020
Camden,Archives,London University: Institute of Modern Languages Research,Special Collections Reading Room Senate House Library Senate House (South Block) Malet Street,,,E09000007,Camden,51.520643622744345,-0.1286980244626283,529926.9646748579,181850.92339879804,5016035,E05000129,Bloomsbury,https://modernlanguages.sas.ac.uk/,E09000007,12/27/2020
Camden,Archives,London University: Institute of Classical Studies,Senate House Malet Street,,,E09000007,Camden,51.520643622744345,-0.1286980244626283,529926.9646748579,181850.92339879804,5016035,E05000129,Bloomsbury,https://ics.sas.ac.uk/,E09000007,12/27/2020
Camden,Archives,London University: Institute of Commonwealth Studies,Special Collections Reading Room Senate House Library South Block Senate House Malet Street,,,E09000007,Camden,51.520643622744345,-0.1286980244626283,529926.9646748579,181850.92339879804,5016035,E05000129,Bloomsbury,https://commonwealth.sas.ac.uk/,E09000007,12/27/2020
Camden,Archives,Liberal Judaism archives,Montagu Centre ,21 Maple Street,,E09000007,Camden,51.52243217708953,-0.13767739310497276,529298.9648453868,182033.923350144,5016796,E05000129,Bloomsbury,https://www.liberaljudaism.org/resources/lj-historical-archive/,E09000007,12/27/2020
Camden,Archives,Egypt Exploration Society,Lucy Gura Archive ,3 Doughty Mews,,E09000007,Camden,51.523153428542194,-0.11694744860391228,530734.9644566869,182150.92331643862,5020719,E05000138,Holborn and Covent Garden,https://www.ees.ac.uk/,E09000007,12/27/2020
Camden,Archives,General Conference of the New Church,Swedenborg House ,20 Bloomsbury Way,,E09000007,Camden,51.517922345006774,-0.12272701083726285,530348.9645599873,181558.92347675835,5024660,E05000138,Holborn and Covent Garden,NA,E09000007,12/27/2020
Camden,Archives,Swedenborg Society,Swedenborg House ,20-21 Bloomsbury Way,,E09000007,Camden,51.517922345006774,-0.12272701083726285,530348.9645599873,181558.92347675835,5024660,E05000138,Holborn and Covent Garden,http://www.swedenborg.org.uk/home,E09000007,12/27/2020
Camden,Archives,"British Library, Music Collections",96 Euston Road,,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,https://www.bl.uk/subjects/music,E09000007,12/27/2020
Camden,Archives,British Library Corporate Archives,British Library ,96 Euston Road,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,http://searcharchives.bl.uk/primo_library/libweb/action/search.do?dscnt=1&dstmp=1542715917978&vid=IAMS_VU2&fromLogin=true,E09000007,12/27/2020
Camden,Archives,British Library: Asian and African Studies,96 Euston Road,,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,https://www.bl.uk/visit/reading-rooms/asian-and-african-studies-reading-room,E09000007,12/27/2020
Camden,Archives,"British Library, Modern English and Reader Services, Humanities and Social Sciences",96 Euston Road,,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,https://www.bl.uk/visit/reading-rooms/humanities-reading-room,E09000007,12/27/2020
Camden,Archives,"British Library, Sound Archive",96 Euston Road,,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,https://sounds.bl.uk/,E09000007,12/27/2020
Camden,Archives,"British Library, Map Library",96 Euston Road,,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,https://www.bl.uk/subjects/maps,E09000007,12/27/2020
Camden,Archives,"British Library, Manuscript Collections",96 Euston Road,,,E09000007,Camden,51.529986770365106,-0.1269883564324114,530018.9646522069,182892.92311582062,5037737,E05000143,St. Pancras and Somers Town,https://www.bl.uk/subjects/manuscripts-and-archives,E09000007,12/27/2020
Camden,Archives,Mary Ward Centre,42 Queen Square,,,E09000007,Camden,51.52086587050325,-0.1217842798525542,530405.9645453725,181887.9233878185,5045366,E05000138,Holborn and Covent Garden,http://www.marywardcentre.ac.uk/,E09000007,12/27/2020
Camden,Archives,Hon Soc of Gray's Inn: Archives,8 South Square,,,E09000007,Camden,51.51927701117553,-0.11243721457924967,531058.9643674826,181727.92343116534,5045865,E05000138,Holborn and Covent Garden,https://www.graysinn.org.uk/history/archives,E09000007,12/27/2020
