BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
City of London,Archives,Baring Archive,8-10 Moorgate,,,E09000001,City and County of th,51.515516990930195,-0.08922629221024543,532680.1639268841,181351.6035357411,95512518,E05009295,Broad Street,https://www.baringarchive.org.uk/,E09000001,12/27/2020
City of London,Archives,LexisNexis Butterworths,Halsbury House,35 Chancery Lane,,E09000001,City and County of th,51.51631265846785,-0.11152206529322226,531130.9643471166,181399.9235198609,95500066,E05009305,Farringdon Without,https://store.lexisnexis.co.uk/categories/butterworths-law-books,E09000001,12/27/2020
City of London,Archives,Employment Policy Institute,Beaufort House ,15 St Botolph Street,,E09000001,City and County of th,51.51506783327342,-0.07588712169359235,533606.9636742383,181325.9235427722,95500292,E05009308,Portsoken,,E09000001,12/27/2020
City of London,Archives,Prudential Group Archives,Prudential plc Laurence Pountney Hill,,,E09000001,City and County of th,51.51039098106976,-0.08904024058696591,532707.9639187142,180781.92368910572,95503633,E05009303,Dowgate,https://www.prudential.co.uk/about-us/our-history/our-archives,E09000001,12/27/2020
City of London,Archives,Chartered Insitute of Taxation,Tony Arnold Library,Maughan Library,Chancery Lane,E09000001,City and County of th,51.51520531218717,-0.11032837534025211,531216.9643233982,181278.92355286895,95509816,E05009305,Farringdon Without,https://www.tax.org.uk/homepage,E09000001,12/27/2020
City of London,Archives,Foreign and Commonwealth Office Library,c/o Foyle Special Collections Library King's College Chancery Lane,,,E09000001,City and County of th,51.51520531218717,-0.11032837534025211,531216.9643233982,181278.92355286895,95509816,E05009305,Farringdon Without,https://www.kcl.ac.uk/library/archivespec/special-collections/Individualcollections/fco.aspx,E09000001,12/27/2020
City of London,Archives,St Bride Library,St Bride Institute ,Bride Lane ,Fleet Street,E09000001,City and County of th,51.51349204783571,-0.10502349280047492,531589.9642212548,181097.9236027685,95511226,E05009297,Castle Baynard,https://www.sbf.org.uk/,E09000001,12/27/2020
City of London,Archives,The Rothschild Archive,New Court ,St Swithin's Lane,,E09000001,City and County of th,51.51231528689345,-0.08903173539661931,532702.9639203156,180995.92363150325,95511233,E05009312,Walbrook,https://www.rothschildarchive.org/,E09000001,12/27/2020
City of London,Archives,Worshipful Society of Apothecaries,Apothecaries' Hall ,Blackfriars Lane,,E09000001,City and County of th,51.51289096433619,-0.10288661886062263,531739.9641802122,181034.9236202354,95511244,E05009304,Farringdon Within,https://www.apothecaries.org/,E09000001,12/27/2020
City of London,Archives,Carpenters Company,Carpenters Hall ,Throgmorton Avenue,,E09000001,City and County of th,51.51669821477163,-0.08593668491623555,532904.9638663924,181488.9234993441,95511248,E05009295,Broad Street,http://www.carpentersco.com/,E09000001,12/27/2020
City of London,Archives,Clothworkers Company,Clothworkers' Hall ,Dunster Court ,Mincing Lane,E09000001,City and County of th,51.51152987376919,-0.08113809363590549,533252.9637709305,180922.92365089653,95511249,E05009310,Tower,https://www.clothworkers.co.uk/,E09000001,12/27/2020
City of London,Archives,Drapers' Company,Drapers' Hall ,Throgmorton Avenue,,E09000001,City and County of th,51.51523928335491,-0.08635820016902822,532879.9638729667,181325.92354301666,95511252,E05009295,Broad Street,https://www.thedrapers.co.uk/,E09000001,12/27/2020
City of London,Archives,Mercers' Company Archives,Mercers' Hall ,Ironmonger Lane,,E09000001,City and County of th,51.51416686408574,-0.09173585283533456,532509.9639725889,181196.92357715993,95511261,E05009298,Cheap,https://www.mercers.co.uk/archive,E09000001,12/27/2020
