BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Croydon,Archives,Spurgeon's College,189 South Norwood Hill,,,E09000008,Croydon,51.40643281567134,-0.08620250362051099,533206.9637807255,169226.92683066562,100023000000,E05011486,Thornton Heath,http://www.spurgeons.ac.uk/,E09000008,12/27/2020
Croydon,Archives,Age Concern,National Old People's Welfare Council ,Astral House ,1268 London Road,E09000008,Croydon,51.406835526311106,-0.12052153085368081,530818.9644341415,169209.92683582968,200001000000,E05011472,Norbury & Pollards Hill,https://www.ageuk.org.uk/,E09000008,12/27/2020
Croydon,Artists workspaces,,"46/47 Trinity Court (Ground Floor),","Whitgift Shopping Centre,",,E09000008,Croydon,51.37635390109545,-0.0990104138512229,532402.9640009856,165858.92774598702,200000000000,E05011468,Fairfield,www.turf-projects.com,E09000008,12/27/2020
Croydon,Arts centres,Fairfield Halls ,Park Ln,,,E09000008,Croydon,51.3725243869017,-0.09577807383074295,532638.9639372956,165438.9278591093,100022917675,E05011468,Fairfield,https://fairfield.co.uk/,E09000008,12/27/2020
Croydon,Cinemas,David Lean Cinema,,Katherine St,,E09000008,Croydon,51.37216277286955,-0.09898276583837269,532416.9641191126,165392.92799365433,200001222331,E05011468,Fairfield,,E09000008,12/27/2020
Croydon,Cinemas,Vue Croydon,,14 High St,,E09000008,Croydon,51.37299684357661,-0.10106037448928062,532269.9641586471,165481.92796987988,010001004802,E05011468,Fairfield,,E09000008,12/27/2020
Croydon,Cinemas,Vue Croydon Purley Way,Valley Park Leisure Complex,21 Hesterman Way,,E09000008,Croydon,51.37812234849377,-0.12450070304906824,530623.9646087349,166009.92782629275,100022906148,E05011465,Broad Green,,E09000008,12/27/2020
Croydon,Community centres,The Eagle Community Centre,52 Tamworth Road,Croydon,NA,E09000008,Croydon,51.37426986509431,-0.10526080075283197,531973.964239595,165615.92793434043,100022902578,E05000149,Broad Green,,E09000008,12/27/2020
Croydon,Community centres,Coulsdon Community Centre,Chipstead Valley Road,Croydon,NA,E09000008,Croydon,51.32002824403646,-0.14769460688344013,529172.9650041714,159508.92959466504,200001205739,E05000151,Coulsdon West,https://coulsdoncommunitycentre.co.uk/,E09000008,12/27/2020
Croydon,Community centres,Shirley Community Centre,28 Shrublands Avenue,Croydon,NA,E09000008,Croydon,51.36906636260875,-0.030766608430662732,537173.9628281727,165173.92805360508,200001209094,E05000163,Shirley,http://shirleycca.com/,E09000008,12/27/2020
Croydon,Community centres,Selsdon Community Centre,132 Addington Road,Croydon,NA,E09000008,Croydon,51.34239125026887,-0.06245136039192336,535046.9634056268,162148.9288745548,10001005673,E05000162,Selsdon and Ballards,http://www.selsdonhall.co.uk/,E09000008,12/27/2020
Croydon,Community centres,Kenley Memorial Home,92 Godstone Road,Croydon,NA,E09000008,Croydon,51.3251461133551,-0.09941972258732747,532521.9640891112,160163.92941238158,10014051997,E05000156,Kenley,,E09000008,12/27/2020
Croydon,Community centres,Polish Community Centre,6 Oliver Grove,Croydon,NA,E09000008,Croydon,51.39883260619739,-0.07733346227730913,533845.9637306001,168397.9271774355,100023260702,E05000164,South Norwood,,E09000008,12/27/2020
