BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Ealing,Archives,National Childbirth Trust,Alexandra House ,Oldham Terrace,,E09000009,Ealing,51.505938426455245,-0.26973939538403474,520180.9673255587,179974.92390992207,12102911,E05000188,South Acton,https://www.nct.org.uk/,E09000009,12/27/2020
Ealing,Archives,Ealing Local History Centre,Central Library ,103 Ealing Broadway Centre ,The Broadway,E09000009,Ealing,51.51233211579817,-0.3023701174739078,517899.967942709,180632.92372817837,12148296,E05000173,Ealing Broadway,https://www.ealing.gov.uk/info/201129/local_history/1888/local_history_centre/1,E09000009,12/27/2020
Ealing,Artists workspaces,Colville Rd,Units 2 and 4,11 Colville Rd,,E09000009,Ealing,51.49926169325689,-0.27372393205347567,519921.96739529504,179225.92411229922,12093573,E05000188,South Acton,www.acava.org,E09000009,12/27/2020
Ealing,Artists workspaces,Vale Grove,Impress House,,,E09000009,Ealing,51.50562536135133,-0.2613360321905066,520764.9671657439,179953.92391517322,12155317,E05000191,Southfield,www.acava.org,E09000009,12/27/2020
Ealing,Artists workspaces,,Singapore Road,West Ealing,,E09000009,Ealing,51.51091069767313,-0.32648898994059716,516230.0083986336,180436.33378215425,12175823,E05000176,Elthorne,,E09000009,12/27/2020
Ealing,Artists workspaces,,135 Dukes Road,,,E09000009,Ealing,51.523803699480226,-0.2823962397938095,519255.96757920634,181940.92337262828,12187273,E05000175,East Acton,http://www.westlondonartfactory.com/about-us,E09000009,12/27/2020
Ealing,Artists workspaces,Queensrolla House,18 Trading Estate Road,,,E09000009,Ealing,51.526280789792715,-0.26921314428187104,520163.96733007557,182237.92329587456,12181846,E05000175,East Acton,http://queensrollahouse.com/,E09000009,12/27/2020
Ealing,Artists workspaces,Park Royal,Unit A/B,28 - 30 Park Royal Rd,,E09000009,Ealing,51.52689275256757,-0.2674167164349132,520286.9672962688,182308.92327660206,12105792,E05000175,East Acton,www.acava.org,E09000009,12/27/2020
Ealing,Artists workspaces,52-56 Standard Road,"Park Royal, London ",,,E09000009,Ealing,51.5283049079184,-0.2637877059509797,520534.96722846513,182471.92323140876,12189460,E05000175,East Acton,www.artistic-spaces.co.uk,E09000009,12/27/2020
Ealing,Artists workspaces,Stewkley House,2 Wadsworth Rd ,,,E09000009,Ealing,51.536201949528795,-0.3176310011458806,516779.9682521172,183262.92301556456,12181269,E05000187,Perivale,www.acava.org,E09000009,12/27/2020
Ealing,Cinemas,Vue Action,Royale Leisure Park,Western Ave,Park Royal,E09000009,Ealing,51.52571185088234,-0.28128645734994784,519327.9676818377,182154.92343682243,000012148223,E05000175,East Acton,,E09000009,12/27/2020
