BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Enfield,Archives,Enfield Local Studies Library and Archive,First Floor Thomas Hardy House ,39 London Road,NA,E09000010,Enfield,51.650317656959146,-0.0811181670912771,532849.2438811352,196356.57945545216,207007119,E05000200,Grange,https://www.dugdalecentre.co.uk/page/local-studies-library-and-archive/,E09000010,12/27/2020
Enfield,Archives,Broomfield House Museum,Broomfield Park Palmers Green,,,E09000010,Enfield,51.61844628314477,-0.11800416033956346,530388.9645490177,192745.92043917195,207169245,E05000209,Southgate Green,http://www.broomfieldhouse.org/,E09000010,12/27/2020
Enfield,Arts centres,Dugdale  ,39 London Road,Enfield,,E09000010,Enfield,51.650317656959146,-0.0811181670912771,532849.2438811352,196356.57945545216,207007119,E05000200,Grange,https://www.dugdalecentre.co.uk/,E09000010,12/27/2020
Enfield,Cinemas,Odeon Lee Valley,,Picketts Lock Lane,Edmonton,E09000010,Enfield,51.63319203340282,-0.03723820583872672,535935.9631616126,194532.92007372796,000207190597,E05000203,Jubilee,,E09000010,12/27/2020
Enfield,Cinemas,Cineworld Enfield,Southbury Leisure Centre,208 Southbury Rd,,E09000010,Enfield,51.650087083307135,-0.06087981115728074,534249.9636229549,196367.91957500885,000207192143,E05000207,Southbury,www.cineworld.co.uk,E09000010,12/27/2020
Enfield,Community centres,Boundary Hall,138 Snells Park,Enfield,NA,E09000010,Enfield,51.60978854702666,-0.06726415633682407,533926.9637095894,191874.920795477,207004110,E05000212,Upper Edmonton,,E09000010,12/27/2020
Enfield,Community centres,Klinger Hall,Pickwick Mews,Enfield,NA,E09000010,Enfield,51.615704680864866,-0.07485635855067502,533383.9638550209,192518.9206196643,207035284,E05000201,Haselbury,,E09000010,12/27/2020
Enfield,Community centres,Ayley Croft Hall,Ayley Croft,Enfield,NA,E09000010,Enfield,51.642282105203094,-0.06228338552181332,534175.9135952921,195497.40980258974,207039206,E05000194,Bush Hill Park,,E09000010,12/27/2020
Enfield,Community centres,Boleyn Hall,Boleyn Avenue,Enfield,NA,E09000010,Enfield,51.663949593923505,-0.055212538206150755,534600.9635255791,197919.91915535962,207154821,E05000207,Southbury,,E09000010,12/27/2020
Enfield,Community centres,Kempe Hall,Kempe Road,Enfield,NA,E09000010,Enfield,51.67657697918457,-0.049377883617451615,534966.96342617,199334.91876766167,207160739,E05000211,Turkey Street,,E09000010,12/27/2020
Enfield,Community centres,Mottingham Hall,4 Mottingham Road,Enfield,NA,E09000010,Enfield,51.63652520306087,-0.04242672103956287,535566.96326474,194893.91997478163,207099985,E05000203,Jubilee,,E09000010,12/27/2020
Enfield,Community centres,Westbourne Hall,Westbourne Place,Enfield,NA,E09000010,Enfield,51.62329047994067,-0.05228675178896431,534923.9634397966,193403.92037864035,207109169,E05000204,Lower Edmonton,,E09000010,12/27/2020
Enfield,Community centres,Enfield Highway Community Centre,117 Hertford Road,Enfield,NA,E09000010,Enfield,51.65635951233113,-0.04706539221529139,535186.9633695255,197090.91937999142,207142730,E05000198,Enfield Highway,,E09000010,12/27/2020
