BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Greenwich,Archives,Greenwich Heritage Centre,Artillery Square Royal Arsenal,,,E09000011,Greenwich,51.49430804526589,0.06942240055540518,543754.1109142671,179292.6440922129,10010229615,E05000230,Woolwich Riverside,https://www.greenwichheritage.org/visit/greenwich-heritage-centre,E09000011,12/27/2020
Greenwich,Archives,National Maritime Museum: The Caird Library and Archive,Park Row ,Romney Road ,,E09000011,Greenwich,51.480940880886635,-0.005215640688933796,538613.7823153376,177662.37453606218,10010243516,E05000222,Greenwich West,https://www.rmg.co.uk/research-collections/caird-library,E09000011,12/27/2020
Greenwich,Archives,University of Greenwich,Dreadnought Library Old Royal Naval College Park Row,,,E09000011,Greenwich,51.48296791947644,-0.00639741437805922,538525.5823405491,177885.54447534465,100023000000,E05000222,Greenwich West,https://www.gre.ac.uk/,E09000011,12/27/2020
Greenwich,Artists workspaces,Norman House,Norman House,125 Greenwich High Rd,,E09000011,Greenwich,51.476724195396926,-0.017176848793958206,537795.9625350789,177170.92467021145,10010217066,E05000222,Greenwich West,www.acava.org,E09000011,12/27/2020
Greenwich,Artists workspaces,Borthwick St,5 Borthwick St,,,E09000011,Greenwich,51.484969015206936,-0.02477897598328046,537243.3126878954,178073.46442478622,10010244675,E05000222,Greenwich West,www.acava.org,E09000011,12/27/2020
Greenwich,Artists workspaces,Azof,Azof Street,Greenwich,,E09000011,Greenwich,51.48899702185057,0.00793434348362516,539502.262071839,178583.16428643867,100023227586,E05000225,Peninsula,www.spacestudios.org.uk,E09000011,12/27/2020
Greenwich,Artists workspaces,,51 Powis street,,,E09000011,Greenwich,51.49125055201966,0.0665014211373603,543560.9609665533,178946.92418629088,100000000000,E05000230,Woolwich Riverside,artfix.org.uk,E09000011,12/27/2020
Greenwich,Artists workspaces,,"2, Commonwealth Buildings",Woolwich Church St,,E09000011,Greenwich,51.4928050628354,0.046945644053961746,542198.631339276,179081.634152875,10010244186,E05000230,Woolwich Riverside,,E09000011,12/27/2020
Greenwich,Artists workspaces,Thames-side studios,5 Harrington Way,Woolwich,,E09000011,Greenwich,51.49437649646916,0.04396507067591265,541986.8513970169,179250.59410593042,10010229623,E05000230,Woolwich Riverside,https://www.thames-sidestudios.co.uk/,E09000011,12/27/2020
Greenwich,Artists workspaces,Art Hub HQ,"Unit 2b, Bldg 28, ",34 Bowater Rd,,E09000011,Greenwich,51.49456696362816,0.039912482507605776,541704.9614744172,179263.9241019538,100000000000,E05000230,Woolwich Riverside,www.arthub.org.uk,E09000011,12/27/2020
Greenwich,Cinemas,Greenwich Picturehouse,,180 Greenwhich Rd,,E09000011,Greenwich,51.47943879088779,-0.009671084561710895,538308.9625193833,177486.9247061665,200001082727,E05000222,Greenwich West,,E09000011,12/27/2020
Greenwich,Cinemas,Odeon Greenwich,,Bugsby Way,,E09000011,Greenwich,51.49057602569898,0.012774430798719726,539833.4420845669,178767.97434652684,010010223864,E05000225,Peninsula,,E09000011,12/27/2020
Greenwich,Cinemas,Cineworld The O2 Greenwich,,The O2,Peninsula Square,E09000011,Greenwich,51.50302657485065,0.004537684473101965,539223.6822414082,180136.7839707443,010010224824,E05000225,Peninsula,www.cineworld.co.uk,E09000011,12/27/2020
Greenwich,Commercial galleries,Royal Observatory,Blackheath Avenue,NA,NA,E09000011,Greenwich,51.477347170338845,-0.0008497192490031125,538927.8523034201,177271.02474039426,10010200750,E05000222,Greenwich West,http://www.rmg.co.uk/royal-observatory#,E09000011,12/27/2020
Greenwich,Commercial galleries,Paul McPherson Gallery,77 Lassell Street,NA,NA,E09000011,Greenwich,51.4847011123714,0.0018646687152258626,539093.9623068937,178093.9245410452,100020981999,E05000225,Peninsula,http://www.paulmcgallery.com/#,E09000011,12/27/2020
Greenwich,Commercial galleries,Greenwich Printmakers Gallery,1a Greenwich Market,NA,NA,E09000011,Greenwich,51.48137273277366,-0.009169153623494124,538337.9625126796,177702.92464735964,100023537574,E05000222,Greenwich West,http://www.greenwich-printmakers.org.uk/#,E09000011,12/27/2020
Greenwich,Commercial galleries,Old Royal Naval College,2 Cutty Sark Gardens,NA,NA,E09000011,Greenwich,51.482871411952665,-0.00877818739503133,538360.5724927462,177870.314555372,200002800648,E05000222,Greenwich West,http://www.oldroyalnavalcollege.org/#,E09000011,12/27/2020
Greenwich,Community centres,Slade Centre,Erindale,Greenwich,NA,E09000011,Greenwich,51.478777822869326,0.08505665026320286,544888.5207271134,177596.49468394928,100023243258,E05000227,Shooters Hill,http://www.glyndon.org.uk/slade.htm,E09000011,12/27/2020
Greenwich,Community centres,Charlton House,Charlton Road,Greenwich,NA,E09000011,Greenwich,51.48067468734284,0.03713239194100411,541555.0116232954,177713.72463399766,10010233503,E05000216,Charlton,https://www.greenwichheritage.org/whats-on/detail/community-groups-at-charlton-house,E09000011,12/27/2020
Greenwich,Community centres,St Marys Community Centre,180 Eltham High Street,Greenwich,NA,E09000011,Greenwich,51.45057829677113,0.05709123749536442,543034.8212182319,174405.78552701767,100023282442,E05000219,Eltham South,,E09000011,12/27/2020
Greenwich,Community centres,Invicta Hall,26 Strandfield Close,Greenwich,NA,E09000011,Greenwich,51.486715477826124,0.09352047380304924,545450.960575856,178495.92443199584,100023242554,E05000226,Plumstead,http://www.glyndon.org.uk/invicta.htm,E09000011,12/27/2020
Greenwich,Community centres,Knee Hill Community Hall,4 Knee Hill,Greenwich,NA,E09000011,Greenwich,51.48939303592262,0.12105635820374538,547353.960059834,178848.69429581525,10010224800,E05000214,Abbey Wood,,E09000011,12/27/2020
Greenwich,Community centres,Anstridge Community Hall,79 Anstridge Road,Greenwich,NA,E09000011,Greenwich,51.447781364449625,0.08266809699169077,544820.7307087743,174145.00557342236,10010224653,E05000219,Eltham South,,E09000011,12/27/2020
Greenwich,Community centres,Orchard Community Hall,120 Lewisham Road,Greenwich,NA,E09000011,Greenwich,51.469003415623106,-0.013487555764854478,538075.4625830282,176319.32498801075,10010220228,E05000222,Greenwich West,,E09000011,12/27/2020
Greenwich,Community centres,Triangle Community Centre,Armitage Road,Greenwich,NA,E09000011,Greenwich,51.48712447328044,0.008452631094689956,539543.96218237,178375.92446536472,10010216516,E05000225,Peninsula,,E09000011,12/27/2020
Greenwich,Community centres,Coldharbour Hall,William Barefoot Drive,Greenwich,NA,E09000011,Greenwich,51.43088885999289,0.058343531641331145,543183.3711678791,172218.79613317165,10010214625,E05000217,Coldharbour and New Eltham,,E09000011,12/27/2020
Greenwich,Community centres,Flintmill Meeting Rooms,72 Flintmill Crescent,Greenwich,NA,E09000011,Greenwich,51.46444128444681,0.04595116536366958,542217.7514346805,175925.65511157532,10010206087,E05000223,Kidbrooke with Hornfair,,E09000011,12/27/2020
Greenwich,Community centres,Woolwich Public Hall,Wellington Street,Greenwich,NA,E09000011,Greenwich,51.48975748578392,0.06462213703483134,543435.1911038437,178777.2143332034,10010240402,E05000230,Woolwich Riverside,https://www.royalgreenwich.gov.uk/info/200164/about_the_royal_borough/327/woolwich_town_hall,E09000011,12/27/2020
Greenwich,Community centres,Barnfield HUb,Barnfield Gardens,Greenwich,NA,E09000011,Greenwich,51.48052983457655,0.0718765001770585,543967.830975938,177765.33460433182,10010244209,E05000229,Woolwich Common,,E09000011,12/27/2020
Greenwich,Community centres,Flintmill Hall,72 Flintmill Crescent,Greenwich,NA,E09000011,Greenwich,51.46447933388881,0.04586302722390213,542211.511446169,175929.7151080754,10010256224,E05000223,Kidbrooke with Hornfair,http://www.stmarys-eltham.co.uk/,E09000011,12/27/2020
Greenwich,Community centres,Woolwich Common Community Centre,15-16 Leslie Smith Square,Greenwich,NA,E09000011,Greenwich,51.480305685953546,0.0624491237875229,543313.96115917,177721.9246436513,10010202523,E05000229,Woolwich Common,,E09000011,12/27/2020
Greenwich,Community centres,Lionel Road Community Hall,540 Westhorne Avenue,Greenwich,NA,E09000011,Greenwich,51.455062170406784,0.03977130172356898,541817.5615430397,174870.7254047931,10010199361,E05000220,Eltham West,,E09000011,12/27/2020
