BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Hammersmith and Fulham,Archives,Catholic Union of Great Britain,St Maximilian Kolbe House ,63 Jeddo Road,,E09000013,Hammersmith and Fulha,51.50441553910975,-0.2489180690435214,521629.96692901175,179839.9239443401,34000250,E05000251,Askew,http://catholicunion.org.uk/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,Latymer Upper School,King Street,,,E09000013,Hammersmith and Fulha,51.49273647902588,-0.23706339544394048,522483.9666972709,178560.92429353797,34004704,E05000261,Ravenscourt Park,http://www.latymer-upper.org/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,Polish Library POSK,Polish Social and Cultural Centre ,238-246 King Street,,E09000013,Hammersmith and Fulha,51.49351545275808,-0.2374366947128584,522455.96670495067,178646.92426981893,34006639,E05000261,Ravenscourt Park,http://www.posk.org/c5/en/library/about-library/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,William Morris Society,Kelmscott House ,26 Upper Mall ,Hammersmith,E09000013,Hammersmith and Fulha,51.49058178727145,-0.23550436618855625,522597.9666667681,178323.9243578065,34008094,E05000261,Ravenscourt Park,https://williammorrissociety.org/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,Rogers Stirk Harbour + Partners,Thames Wharf ,Rainville Road,,E09000013,Hammersmith and Fulha,51.48362317408272,-0.22429400856088202,523394.9664529341,177568.9245615187,34024755,E05000255,Fulham Reach,https://www.rsh-p.com/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,St Paul's Girls' School,Brook Green ,Hammersmith,,E09000013,Hammersmith and Fulha,51.49513189704774,-0.21883326308777842,523742.96635653987,178857.9242113827,34026608,E05000252,Avonmore and Brook Green,https://spgs.org/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,Hammersmith and Fulham Archives and Local History Centre,First Floor Hammersmith Library Shepherd's Bush Road,,,E09000013,Hammersmith and Fulha,51.494584691998604,-0.22366629184841172,523408.96644692624,178788.92423019884,34027231,E05000256,Hammersmith Broadway,https://www.lbhf.gov.uk/libraries/local-studies-and-archives,E09000013,12/27/2020
Hammersmith and Fulham,Archives,The Nutrition Society,10 Cambridge Court,210 Shepherds Bush Road,,E09000013,Hammersmith and Fulha,51.49533778359173,-0.2247030797950462,523334.9664670432,178870.9242079964,34028103,E05000256,Hammersmith Broadway,https://www.nutritionsociety.org/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,Society for Psychical Research,1 Vernon Mews ,West Kensington,,E09000013,Hammersmith and Fulha,51.49391402689298,-0.21030917426154164,524337.9661945885,178736.92424532503,34037603,E05000252,Avonmore and Brook Green,https://www.spr.ac.uk/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,National Federation of Women's Institutes,104 New Kings Road,,,E09000013,Hammersmith and Fulha,51.47223328674403,-0.20387155690914466,524843.9660600156,176336.92489809165,34044214,E05000264,Town,https://www.thewi.org.uk/,E09000013,12/27/2020
Hammersmith and Fulham,Archives,V&A Archive of Art and Design,Blythe House 23 Blythe Road,,,E09000013,Hammersmith and Fulha,51.496413877812444,-0.21384172436352888,524085.96626319404,179008.92417144217,34062985,E05000252,Avonmore and Brook Green,https://www.vam.ac.uk/info/archive-of-art-and-design,E09000013,12/27/2020
Hammersmith and Fulham,Archives,V&A Department of Theatre and Performance,23 Blythe Road,,,E09000013,Hammersmith and Fulha,51.496413877812444,-0.21384172436352888,524085.96626319404,179008.92417144217,34062985,E05000252,Avonmore and Brook Green,https://www.vam.ac.uk/collections/theatre-performance,E09000013,12/27/2020
Hammersmith and Fulham,Archives,Harrods Archive,68-72 Hammersmith Road,,,E09000013,Hammersmith and Fulha,51.49454912264182,-0.2136265321280767,524105.9662577259,178801.92422721058,34142299,E05000252,Avonmore and Brook Green,,E09000013,12/27/2020
Hammersmith and Fulham,Artists workspaces,Faroe Rd,23 - 29 Faroe Rd,,,E09000013,Hammersmith and Fulham,51.498592089894295,-0.21515404976425173,523988.9662897113,179248.92410668632,34034840,E05000252,Avonmore and Brook Green,www.acava.org,E09000013,12/27/2020
Hammersmith and Fulham,Artists workspaces,Hetley Rd,62 Hetley Rd,,,E09000013,Hammersmith and Fulham,51.50456463827418,-0.23366720048757378,522687.9666420115,179881.92393124138,34100876,E05000263,Shepherd's Bush Green,www.acava.org,E09000013,12/27/2020
