BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Haringey,Archives,Alexandra Park and Palace Charitable Trust,Alexandra Palace Way,,,E09000014,Haringey,51.59448347351189,-0.13050142940269552,529591.9647652127,190058.9211693263,10003974918,E05000266,Alexandra,http://www.alexandrapalace.com/,E09000014,12/27/2020
Haringey,Archives,Moravian Church Archive and Library,Moravian Church House 5-7 Muswell Hill,,,E09000014,Haringey,51.587513635701356,-0.13441069250566057,529340.9648349099,189276.92138046736,10003979924,E05000274,Muswell Hill,http://www.moravian.org.uk/index.php/church-house/church-archives,E09000014,12/27/2020
Haringey,Archives,Evangelical Library,5/6 Gateway Mews,Ringway Bounds Green,,E09000014,Haringey,51.60960732035999,-0.134372069892001,529280.9648483905,191733.9207106991,10003984141,E05000267,Bounds Green,http://www.evangelical-library.org.uk/,E09000014,12/27/2020
Haringey,Archives,George Padmore Institute,76 Stroud Green Road,,,E09000014,Haringey,51.568130876667404,-0.10944747072564008,531125.9643492091,187165.92195494933,100023000000,E05000279,Stroud Green,https://www.georgepadmoreinstitute.org/,E09000014,12/27/2020
Haringey,Archives,Highgate School Archives,Highgate School North Road,,,E09000014,Haringey,51.572201741067225,-0.14932404470129293,528350.9651043247,187547.92184958165,100023000000,E05000272,Highgate,https://www.highgateschool.org.uk/about/museum-and-archive,E09000014,12/27/2020
Haringey,Archives,Haringey Archive Service,Bruce Castle Museum ,Lordship Lane ,,E09000014,Haringey,51.59915010108335,-0.07544090511867615,533391.9637340679,190676.9210001686,100024000000,E05000283,White Hart Lane,https://www.haringey.gov.uk/libraries-sport-and-leisure/culture-and-entertainment/visiting-haringey/haringey-archive-and-local-history,E09000014,12/27/2020
Haringey,Artists workspaces,"Park Sudios, Finsbury Park",Park Sudios,34 Scarborough Road,,E09000014,Haringey,51.570581866915084,-0.10641653372193136,531328.9642934933,187443.92187815392,100023190785,E05000279,Stroud Green,http://www.parkstudioslondon.org/,E09000014,12/27/2020
Haringey,Artists workspaces,,199 Eade Road,,,E09000014,Haringey,51.57495228187851,-0.08813787733316791,532582.9639540517,187962.92173737858,10003975439,E05000278,Seven Sisters,http://www.newriverstudios.com/,E09000014,12/27/2020
Haringey,Artists workspaces,,718 Seven Sisters Rd,,,E09000014,Haringey,51.5804164002186,-0.07803631833449517,533266.963769024,188588.92156761413,100000000000,E05000277,St. Ann's,https://www.pjrcreativebuilding.co.uk/,E09000014,12/27/2020
Haringey,Artists workspaces,Carvall Warehouse ,Bernard Works,23 Bernard Road ,,E09000014,Haringey,51.58210093470421,-0.06836678133465894,533931.9635873863,188793.9215100659,10003978049,E05000280,Tottenham Green,www.themillcoproject.co.uk,E09000014,12/27/2020
