BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Harrow,Archives,Harrow School Archives,5 High Street,Harrow on the Hill,,E09000015,Harrow,51.5722820843308,-0.3373830230332402,515318.9686482354,187243.92193388898,10070266096,E05000289,Harrow on the Hill,https://www.harrowschool.org.uk/The-Archive,E09000015,12/27/2020
Harrow,Archives,Society of the Divine Saviour (Salvatorians),129 Spencer Road,Harrow Weald,,E09000015,Harrow,51.60015880621216,-0.3373896868539994,515247.9686658964,190343.921088166,100023000000,E05000304,Wealdstone,http://www.salvatorians.com/,E09000015,12/27/2020
Harrow,Archives,North London Collegiate School,Canons Drive ,Edgware,,E09000015,Harrow,51.61417689035562,-0.29470109982720466,518167.9678736008,191970.92064669286,200000000000,E05000286,Canons,https://www.nlcs.org.uk/,E09000015,12/27/2020
Harrow,Archives,Harrow Local History Collection,Headstone Manor and Museum Pinner View,Harrow,,E09000015,Harrow,51.59406081511603,-0.35261308223347515,514208.96894635935,189641.92127971083,200000000000,E05000292,Headstone North,http://www.harrow.gov.uk/info/100009/leisure_and_culture/183/harrow_local_history_centre,E09000015,12/27/2020
Harrow,Artists workspaces,,Usurp Art,140 Vaughan Road,,E09000015,Harrow,51.579042533493386,-0.3493606728198522,514471.9688780997,187976.9217344409,200000000000,E05000305,West Harrow,www.usurp.org.uk,E09000015,12/27/2020
Harrow,Artists workspaces,Whitefriars Avenue,Winsor & Newton Building,Whitefrairs Avenue,,E09000015,Harrow,51.598582672561434,-0.34039283106657015,515043.96872091806,190163.92113740963,100021000000,E05000304,Wealdstone,www.acava.org,E09000015,12/27/2020
Harrow,Arts centres,Harrow Arts Centre ,171 Uxbridge Road,Hatch End,,E09000015,Harrow,51.60848854476744,-0.3638031612556714,513397.96916683693,191228.92084784468,200000319916,E05000291,Hatch End,https://harrowarts.com/,E09000015,12/27/2020
Harrow,Cinemas,Vue Harrow,,St Anns Road,,E09000015,Harrow,51.581467510914585,-0.3389527772588896,515186.968804012,188262.92177885486,200000313205,E05000288,Greenhill,,E09000015,12/27/2020
Harrow,Commercial galleries,Usurp,140 Vaughan Road,NA,NA,E09000015,Harrow,51.57904584466059,-0.3493466961511721,514472.928960828,187977.311810033,100021292207,E05000305,West Harrow,http://www.usurp.org.uk/exhibitions/#,E09000015,12/27/2020
Harrow,Community centres,Marsh Road Community Centre,Marsh Road,Harrow,NA,E09000015,Harrow,51.58909580188386,-0.37798825715468287,512463.6395258463,189050.47154992574,10070270312,E05000298,Pinner South,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,12/27/2020
Harrow,Community centres,Pinner Hill Hall,Pinner Hill Road,Harrow,NA,E09000015,Harrow,51.60245257982744,-0.3975358368721322,511076.96992201207,190505.92116751085,200004435039,E05000297,Pinner,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,12/27/2020
Harrow,Community centres,Kenmore Park Hall,Warneford Road,Harrow,NA,E09000015,Harrow,51.59323866927508,-0.29815640636471386,517982.96804443153,189636.92140516173,200000311926,E05000294,Kenton East,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,12/27/2020
Harrow,Community centres,Bede Anandappa Centre,Binyon Crescent,Harrow,NA,E09000015,Harrow,51.615717210221646,-0.3324152876257249,515552.9687039101,192081.92074030894,200000306195,E05000303,Stanmore Park,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,12/27/2020
Harrow,Community centres,Northolt Road Hall,Northolt Road,Harrow,NA,E09000015,Harrow,51.568279627526756,-0.34751422954205374,514626.9689597641,186782.9221821542,10094042923,E05000289,Harrow on the Hill,http://www.harrow.gov.uk/info/200244/housing_portal/1668/community_centre_halls,E09000015,12/27/2020
Harrow,Community centres,Savoy Court Community Centre,Station Road,Harrow,NA,E09000015,Harrow,51.58665549079659,-0.36064504271407644,513671.11917835905,188805.91162051994,10070262953,E05000293,Headstone South,,E09000015,12/27/2020
