BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Havering,Cinemas,Vue Romford,,1-15 Waterloo Rd,,E09000016,Havering,51.574906297250664,0.18008357892377302,551168.298988479,188477.8816821595,200002674389,E05000319,Romford Town,,E09000016,12/27/2020
Havering,Community centres,South Hornchurch Community Association,South Hornchurch Social Hall Nelson Road, Rainham,NA,E09000016,Havering,51.53029681818684,0.1870748267981461,551800.9588509277,183531.923064753,10091576887,E05000321,South Hornchurch,,E09000016,12/27/2020
Havering,Community centres,New Windmill Hall Community Association,302 St Maryâs Lane, Upminster,NA,E09000016,Havering,51.55623390945513,0.24532099711069708,555752.2777807697,186538.4122372035,10091576889,E05000323,Upminster,,E09000016,12/27/2020
Havering,Community centres,Front Lane Community Association,Cranham Social Hall, 103 Front Lane, Cranham,E09000016,Havering,51.562987881853985,0.2661693734629057,557174.1373813031,187334.00198756967,100023517306,E05000307,Cranham,,E09000016,12/27/2020
Havering,Community centres,Bretons Community Association,Bretons Manor House 411 Rainham Road Rainham,NA,NA,E09000016,Havering,51.542002933310044,0.18576257615013497,551671.0788819963,184830.882671119,200002675379,E05000308,Elm Park,,E09000016,12/27/2020
Havering,Community centres,Harold Wood Neighbourhood Centre,The Old School, Gubbins Lane, Harold Wood,E09000016,Havering,51.58971867643205,0.23375663757190585,554837.0280299258,190237.3012449646,100023216516,E05000312,Harold Wood,http://www.hwnc.org.uk/,E09000016,12/27/2020
Havering,Community centres,Harold Hill & District Community Association,Gooshays Drive, Harold Hill,NA,E09000016,Havering,51.60582424768991,0.22604694258844502,554248.468134966,192011.90073842474,100023217173,E05000310,Gooshays,http://www.hhdca.co.uk/,E09000016,12/27/2020
Havering,Community centres,North Romford Community Association,Clockhouse Lane Collier Row,NA,NA,E09000016,Havering,51.60063238557548,0.1637417513836071,549951.2893113024,191304.96093066334,100023516607,E05000313,Havering Park,www.nrca.co.uk,E09000016,12/27/2020
Havering,Community centres,Tweedway Hall Community Association,Tweedway Hall Tweed Way, Collier Row,NA,E09000016,Havering,51.5995203926492,0.1779577909100182,550939.4390655367,191210.53096428112,100023211949,E05000317,Pettits,https://www.tweedwayhall.com/,E09000016,12/27/2020
Havering,Community centres,Elm Park Community Association,Elm Park Assembly Hall, Eyhurst Avenue, Elm Park,E09000016,Havering,51.552900557447764,0.19827236233998352,552502.1186358756,186068.65235443955,100023213863,E05000320,St. Andrew's,,E09000016,12/27/2020
Havering,Community centres,Mardyke Youth & Community Association,Mardyke Social Centre, South Street, Rainham,E09000016,Havering,51.528478070461766,0.16938923727694322,550580.3391872176,183293.1731292811,100023214801,E05000321,South Hornchurch,,E09000016,12/27/2020
Havering,Community centres,The Forest Row Community Centre,241 Lodge Lane, Collier Row,NA,E09000016,Havering,51.60550025559376,0.1534998229836115,549226.0795475652,191825.33078367967,100023217426,E05000313,Havering Park,http://www.theforestrowcentre.co.uk/,E09000016,12/27/2020
Havering,Community centres,Ardleigh House Community Association,42 Ardleigh Green Road,Havering,NA,E09000016,Havering,51.5808729155839,0.22170610019998208,554032.198233781,189228.2215037861,100023515927,E05000322,Squirrel's Heath,www.ardleighhouse.org,E09000016,12/27/2020
Havering,Community centres,Avelon Road Centre,100 Avelon Road,Havering,NA,E09000016,Havering,51.53433694725363,0.19981960452159367,552671.4085645884,184007.6729347399,10033420082,E05000321,South Hornchurch,http://www.avelonroadcentre.com/,E09000016,12/27/2020
Havering,Community centres,Wykeham Hall,Market Place,Havering,NA,E09000016,Havering,51.57935534977122,0.180982360230826,551215.8189956539,188974.46156431356,100023211660,E05000319,Romford Town,,E09000016,12/27/2020
Havering,Community centres,Wennington Village Association,1a Church Lane Wennington, Rainham,NA,E09000016,Havering,51.50686353517248,0.21702909154065017,553957.4582641318,180988.73375319416,100021357962,E05000318,Rainham and Wennington,,E09000016,12/27/2020
Havering,Community centres,Rush Green Community Association,Rush Green Gardens  Rush Green Road, Romford,NA,E09000016,Havering,51.565154519424695,0.17077382790189136,550555.4091405979,187374.3219827265,200002675419,E05000306,Brooklands,,E09000016,12/27/2020
Havering,Community centres,Rainham Royals Youth Centre,Viking Way, Rainham,NA,E09000016,Havering,51.519071818982354,0.1907838884500263,552095.5587486798,182291.39337246615,100023214855,E05000318,Rainham and Wennington,,E09000016,12/27/2020
Havering,Community centres,Rainham & Wennington Community Association,Brenda Blakemore Community Centre, Davies Close, Rainham,E09000016,Havering,51.52113637312922,0.2057184788059327,553124.7384599887,182552.10332382517,10091577045,E05000318,Rainham and Wennington,,E09000016,12/27/2020
Havering,Community centres,Havering Asian Social & Welfare Association,Greenfields Kilmartin Way Elm Park,NA,NA,E09000016,Havering,51.54427710769035,0.20122953875286445,552735.9585958273,185115.92263354117,10091576884,E05000308,Elm Park,,E09000016,12/27/2020
Havering,Community centres,Emerson Park Community Association,Emerson Park Social Hall Slewins Lane Hornchurch,NA,NA,E09000016,Havering,51.57521531090957,0.2136089837472612,553490.2583787601,188582.0816646348,100023213572,E05000322,Squirrel's Heath,,E09000016,12/27/2020
Havering,Community centres,Cranham Community Association,115a Marlborough Gardens Cranham,NA,NA,E09000016,Havering,51.56799363809958,0.2654238770257985,557105.2273661084,187889.02185567113,100023215299,E05000307,Cranham,,E09000016,12/27/2020
Havering,Community centres,Briar Community Association,Betty Strathern Centre, 41 Myrtle Rd, Harold Hill,E09000016,Havering,51.602506399899426,0.21368428781143722,553403.598370574,191616.94082544086,100023216866,E05000314,Heaton,,E09000016,12/27/2020
Havering,Creative workspaces,London Borough Of Havering,Fairkytes Art Centre,Fairkytes Art Centre,Billet Lane,E09000016,Havering,51.56501734460049,0.21823569148475155,553845.2182421489,187457.8119496407,100023213016,,,https://www.havering.gov.uk/info/20043/arts_and_music/274/fairkytes_arts_centre,E09000016,12/27/2020
Havering,Dance performance venues,The Queen's Theatre,59 Billet Lane,,,E09000016,Havering,51.565210579829674,0.2194442974728821,553928.328148897,187481.8418673856,100023213219,E05000320,St. Andrew's,http://www.queens-theatre.co.uk,E09000016,12/27/2020
Havering,Dance performance venues,ACS Dance Centre,66 Albert Rd,,,E09000016,Havering,51.573604486378414,0.1899065102180928,551853.2687155718,188353.47163186,100023211192,E05000319,Romford Town,http://www.anthonycliffordstudios.co.uk,E09000016,12/27/2020
