BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Hillingdon,Archives,EMI Group Archive Trust,Dawley Road,Hayes,,E09000017,Hillingdon,51.50816040485232,-0.430243685474117,509036.9703519687,179970.92391128867,10022797517,E05000325,Botwell,https://www.emiarchivetrust.org/,E09000017,12/27/2020
Hillingdon,Archives,London School of Theology,Green Lane,Northwood,,E09000017,Hillingdon,51.612949593008516,-0.4317289762313752,508683.9704507013,191621.92074254452,100023000000,E05000335,Northwood,https://home.lst.ac.uk/,E09000017,12/27/2020
Hillingdon,Archives,Brunel University Archives,The Old School House ,1 Hillingdon Road ,Uxbridge,E09000017,Hillingdon,51.53662880782201,-0.47100701865696964,506141.9711422209,183076.92306381796,100023000000,E05000326,Brunel,https://www.brunel.ac.uk/about/Archives,E09000017,12/27/2020
Hillingdon,Archives,British Airways Heritage Collection,Waterside Speedbird Way,Harmondsworth,,E09000017,Hillingdon,51.48549094062882,-0.48702090583765206,505148.97141100315,177366.92461901723,100023000000,E05000331,Heathrow Villages,https://www.britishairways.com/en-gb/information/about-ba/history-and-heritage/heritage-collection,E09000017,12/27/2020
Hillingdon,Archives,"Hillingdon Local Studies, Archives and Museums Service",Local Studies Archives and Museum Service Central Library,Uxbridge,,E09000017,Hillingdon,51.54518515142137,-0.4782767159862182,505617.9712842847,184017.92281085113,100023000000,E05000341,Uxbridge South,https://www.hillingdon.gov.uk/history,E09000017,12/27/2020
Hillingdon,Archives,SADAA (South Asian Diaspora Arts Archive),Special Collections Brunel University Library,Uxbridge,,E09000017,Hillingdon,51.532839919971025,-0.4728353362006622,506023.9711745961,182652.92317899427,100023000000,E05000326,Brunel,https://sadaa.co.uk/,E09000017,12/27/2020
Hillingdon,Archives,Brunel University Library,Kingston Lane,Uxbridge,,E09000017,Hillingdon,51.532839919971025,-0.4728353362006622,506023.9711745961,182652.92317899427,100023000000,E05000326,Brunel,https://www.brunel.ac.uk/life/library,E09000017,12/27/2020
Hillingdon,Artists workspaces,,"75, The Green",West Drayton,,E09000017,Hillingdon,51.50155041968725,-0.47585549475384303,505886.9712130519,179168.92412941443,100000000000,E05000342,West Drayton,www.southlandsarts.co.uk,E09000017,12/27/2020
Hillingdon,Cinemas,Odeon Uxbridge,,302 The Chimes Shopping Centre,,E09000017,Hillingdon,51.54514957062954,-0.4755378286628746,505807.9713546083,184017.92293241987,010003003209,E05000340,Uxbridge North,,E09000017,12/27/2020
Hillingdon,Cinemas,Cineworld South Ruislip,,The Old Dairy,Victoria Rd,E09000017,Hillingdon,51.55907316584616,-0.4000597046058027,511007.78994990536,185678.14244910842,010092984334,E05000338,South Ruislip,,E09000017,12/27/2020
Hillingdon,Community centres,The Honeywell Centre,26 Wraysbury Drive,NA,NA,E09000017,Hillingdon,51.513489153487264,-0.4777049491865546,505730.97137569427,180493.92388932075,10090330845,E05000345,Yiewsley,https://www.a2dominion.co.uk/locations/The-Honeywell-Centre-West-Drayton,E09000017,12/27/2020
Hillingdon,Community centres,Meadows Community Centre,90 Wise Lane, West Drayton,NA,E09000017,Hillingdon,51.49793950953183,-0.4782379728666888,505729.9713775007,178763.9243617144,200002815540,E05000342,West Drayton,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,E09000017,12/27/2020
