BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Hounslow,Archives,National Air Traffic Services Ltd,Heathrow House Bath Road,,,E09000018,Hounslow,51.480449821417466,-0.4123305878836583,510346.8700001461,176916.22473955562,10091691519,E05000350,Cranford,https://www.nats.aero/,E09000018,12/27/2020
Hounslow,Archives,Hounslow and Feltham Local Studies Service,Feltham Library The Centre High Street,Feltham,,E09000018,Hounslow,51.4463633119518,-0.4110704173208177,510516.56995345914,173127.52576949197,100023000000,E05000352,Feltham West,https://www.hounslow.gov.uk/info/20136/other_library_services/1692/local_history_and_archives,E09000018,12/27/2020
Hounslow,Archives,London Museum of Water & Steam,Green Dragon Lane, Brentford,,E09000018,Hounslow,51.489055494314385,-0.29051757292184877,518782.8677068693,178063.62442901504,100023000000,E05000347,Brentford,https://www.waterandsteam.org.uk/,E09000018,12/27/2020
Hounslow,Archives,Leprosy Mission International,80 Windmill Road,Brentford,,E09000018,Hounslow,51.489612635736634,-0.30904398921805387,517495.2680558525,178095.7244201069,100023000000,E05000364,Syon,https://www.leprosymission.org/,E09000018,12/27/2020
Hounslow,Archives,Chiswick Library Local Studies Service,Chiswick Library, Duke's Avenue,NA,E09000018,Hounslow,51.491695739533334,-0.2610854659698276,520819.1671510435,178405.32433549804,200003000000,E05000365,Turnham Green,https://www.hounslow.gov.uk/info/20136/other_library_services/1692/local_history_and_archives,E09000018,12/27/2020
Hounslow,Archives,GlaxoSmithKline Heritage Archives,GSK House 980 Great West Road,Brentford,,E09000018,Hounslow,51.488699050526805,-0.315612974041108,517041.56817859074,177983.6244505266,200004000000,E05000347,Brentford,https://www.gsk.com/en-gb/about-us/our-history/gsk-heritage-archives/,E09000018,12/27/2020
Hounslow,Archives,Gunnersbury Park Museum,Gunnersbury Park Popes Lane,,,E09000018,Hounslow,51.499543486568186,-0.2863214492514708,519046.8676347975,179236.72410712816,200004000000,E05000347,Brentford,http://www.visitgunnersbury.org/,E09000018,12/27/2020
Hounslow,Artists workspaces,ART AND CRAFT STUDIOS,"Reddlees Park, Worton Road",,,E09000018,Hounslow,51.46693811950627,-0.332369119175883,515933.37848230696,175537.12511467107,10091692695,E05000362,Isleworth,www.redlees.org,E09000018,12/27/2020
Hounslow,Artists workspaces,Pavilion Studios,Pavilion Studios,Market Drive (off Alexandra Gardens),,E09000018,Hounslow,51.48079098216848,-0.25610240138303814,521193.9670490471,177200.92466147692,10001273971,E05000348,Chiswick Homefields,http://dukesmeadowstrust.org/studios/,E09000018,12/27/2020
Hounslow,Artists workspaces,,Johnsons Island,Catherine Wheel Rd,,E09000018,Hounslow,51.482249750980586,-0.3053888340585829,517767.96798071644,177282.8246396457,10001273963,E05000364,Syon,www.brentfordgallery.co.uk,E09000018,12/27/2020
Hounslow,Artists workspaces,The Forge / Diesel House Studios,London Museum of Water and Steam,Green Dragon Lane,,E09000018,Hounslow,51.489055494314385,-0.29051757292184877,518782.8677068693,178063.62442901504,100023407522,E05000347,Brentford,http://www.madeatkewbridge.co.uk,E09000018,12/27/2020
Hounslow,Arts centres,The Arts Centre Houndslow , First Floor, Treaty Centre,High Street,E09000018,Hounslow,51.4681335261444,-0.3630253474275807,513801.10906005075,175622.01509234414,10091692850,E05000358,Hounslow Central,http://www.hounslowartscentre.co.uk/,E09000018,12/27/2020
Hounslow,Arts centres,Watermans Arts Centre,40 High St,Brentford ,,E09000018,Hounslow,51.485768357508256,-0.29804237060391664,518268.9678445704,177685.9245303647,100023407377,E05000347,Brentford,https://www.watermans.org.uk/,E09000018,12/27/2020
Hounslow,Cinemas,Cineworld Felham,Leisure west,Air Park Way,,E09000018,Hounslow,51.44390484979243,-0.40457378259497034,510973.9699517116,172863.9259624165,100023517705,E05000354,Hanworth Park,www.cineworld.co.uk,E09000018,12/27/2020
Hounslow,Cinemas,Watermans Art Centre,,40 High St,,E09000018,Hounslow,51.485768358580174,-0.29804236880536034,518268.9679666694,177685.9246524641,100023407377,E05000347,Brentford,,E09000018,12/27/2020
Hounslow,Community centres,Sparrow Farm Community Centre,Sparrow Farm Drive,Hounslow,NA,E09000018,Hounslow,51.45210337408691,-0.3970228239100697,511478.76980130514,173787.12566256302,10090800595,E05000351,Feltham North,,E09000018,12/27/2020
Hounslow,Community centres,Mission Hall Community Centre,Mission Square,Hounslow,NA,E09000018,Hounslow,51.48767335002994,-0.29868587286247195,518219.36794455035,177896.72458350944,100023407847,E05000347,Brentford,,E09000018,12/27/2020
Hounslow,Community centres,Oriel Community Centre,16 Chamberlain Walk,Hounslow,NA,E09000018,Hounslow,51.434608957884016,-0.3885382305680619,512111.0696189715,171854.5362224739,10001263362,E05000353,Hanworth,,E09000018,12/27/2020
Hounslow,Community centres,Rose Community Hall & MUGA,Hawthorn Road,Hounslow,NA,E09000018,Hounslow,51.480624742511175,-0.3191363879562541,516817.5683391302,177080.12476784614,10023861919,E05000364,Syon,,E09000018,12/27/2020
Hounslow,Community centres,Moulton Avenue Community Centre,14-16 Moulton Avenue,Hounslow,NA,E09000018,Hounslow,51.47592042267702,-0.3821439806643801,512454.06952257134,176458.42498666234,10090800372,E05000355,Heston Central,,E09000018,12/27/2020
Hounslow,Community centres,Dukes Meadow Community Centre,Alexandra Gardens,Hounslow,NA,E09000018,Hounslow,51.48068919712334,-0.2570170490765613,521130.7271370241,177188.0947700382,10090800597,E05000348,Chiswick Homefields,,E09000018,12/27/2020
Hounslow,Community centres,Alf Chandler Centre,Benson Close,Hounslow,NA,E09000018,Hounslow,51.465635088263205,-0.37284335933782375,513125.3593193259,175328.97528275766,10090800598,E05000359,Hounslow Heath,,E09000018,12/27/2020
Hounslow,Community centres,Clayponds Community Centre,Clayponds Gardens,Hounslow,NA,E09000018,Hounslow,51.495267772612394,-0.3044738971459588,517797.96809682884,178731.92436865682,10001273919,E05000347,Brentford,,E09000018,12/27/2020
Hounslow,Community centres,Brickfield Community Centre,Brickfield Close,Hounslow,NA,E09000018,Hounslow,51.48245924771841,-0.3147245343432277,517119.2182809706,177291.16475011525,10091692313,E05000364,Syon,,E09000018,12/27/2020
Hounslow,Community centres,Gunnersbury Close,Chiswick High Road,Hounslow,NA,E09000018,Hounslow,51.492221338131,-0.2731688816935405,519978.9675033746,178443.92444730928,10091693280,E05000365,Turnham Green,,E09000018,12/27/2020
Hounslow,Community centres,Heston Farm,15 Biscoe Close ,Hounslow,NA,E09000018,Hounslow,51.488310637590004,-0.3688054047860142,513349.66925639816,177856.82456898387,10093256965,E05000356,Heston East,,E09000018,12/27/2020
