BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Islington,Archives,Writers and Scholars Educational Trust (Index on Censorship),6-8 Amwell St,,,E09000019,Islington,51.52727965313077,-0.10847310863580012,531310.9643008015,182624.9231894865,5300001787,E05000370,Clerkenwell,,E09000019,12/27/2020
Islington,Archives,Survival International,6 Charterhouse Buildings,,,E09000019,Islington,51.5229243516096,-0.09828900921743923,532029.9641036394,182158.92331642628,5300018843,E05000367,Bunhill,https://www.survivalinternational.org/,E09000019,12/27/2020
Islington,Archives,International PEN,9-10 Charterhouse Buildings ,Goswell Road,,E09000019,Islington,51.523009204037024,-0.09853053547654018,532012.9641083048,182167.92331401602,5300018851,E05000367,Bunhill,https://pen-international.org/,E09000019,12/27/2020
Islington,Archives,Society of Genealogists,14 Charterhouse Buildings ,Goswell Road,,E09000019,Islington,51.52269490471264,-0.09855804917057791,532011.9641085177,182132.92332345172,5300018857,E05000367,Bunhill,http://www.sog.org.uk/,E09000019,12/27/2020
Islington,Archives,Honourable Artillery Company,Armoury House ,City Road,,E09000019,Islington,51.52301548170287,-0.08841060799345134,532714.9639163079,182186.9233081857,5300019875,E05000367,Bunhill,https://www.hac.org.uk/home/,E09000019,12/27/2020
Islington,Archives,Marx Memorial Library,37a Clerkenwell Green,,,E09000019,Islington,51.52296493612978,-0.10579774333375344,531508.9642458112,182149.92331842874,5300021024,E05000370,Clerkenwell,https://www.marx-memorial-library.org/,E09000019,12/27/2020
Islington,Archives,Corps of Commissionaires (Corps Security),85 Cowcross Street,,,E09000019,Islington,51.52003774334992,-0.10273366301136301,531729.9641846766,181829.92340478697,5300024887,E05000370,Clerkenwell,https://www.corpssecurity.co.uk/,E09000019,12/27/2020
Islington,Archives,"Amnesty International, International Secretariat",Peter Benenson House ,1 Easton Street,,E09000019,Islington,51.52582065471439,-0.11112852782923605,531130.9643494849,182457.9232345213,5300029347,E05000370,Clerkenwell,https://careers.amnesty.org/,E09000019,12/27/2020
Islington,Archives,Royal Statistical Society,12 Errol Street,,,E09000019,Islington,51.52252541643513,-0.09089616222437483,532543.9639631469,182127.92332442757,5300031223,E05000367,Bunhill,https://www.rss.org.uk/,E09000019,12/27/2020
Islington,Archives,Royal National Institute for the Deaf,Head Office,1- 3 Highbury Station Road,,E09000019,Islington,51.524483813905135,-0.08856532319578482,532699.9639200523,182349.92326361407,5300033046,E05000367,Bunhill,https://www.actiononhearingloss.org.uk/,E09000019,12/27/2020
Islington,Archives,Mencap,123 Golden Lane,,,E09000019,Islington,51.52387977400425,-0.09565435130295027,532209.964054482,182269.92328621406,5300036426,E05000367,Bunhill,https://www.mencap.org.uk/,E09000019,12/27/2020
Islington,Archives,Scope (formerly the Spastics Society),6 Market Road,,,E09000019,Islington,51.54710286681222,-0.1187420269562714,530541.9645074715,184810.92259333166,5300060248,E05000375,Holloway,https://www.scope.org.uk/history,E09000019,12/27/2020
Islington,Archives,Guildhall Library Manuscripts Section,40 Northampton Road,,,E09000019,Islington,51.52537594646614,-0.10752849253640263,531381.9642810884,182414.92324688373,5300067716,E05000370,Clerkenwell,https://www.cityoflondon.gov.uk/things-to-do/london-metropolitan-archives/visitor-information/Pages/archives-guildhall-library.aspx,E09000019,12/27/2020
Islington,Archives,London Metropolitan Archives: City of London,40 Northampton Road,,,E09000019,Islington,51.52537594646614,-0.10752849253640263,531381.9642810884,182414.92324688373,5300067716,E05000370,Clerkenwell,https://www.cityoflondon.gov.uk/things-to-do/london-metropolitan-archives/Pages/default.aspx,E09000019,12/27/2020
Islington,Archives,"City, University of London",Northampton Square,,,E09000019,Islington,51.52770618350995,-0.10258775571792003,531717.9641902419,182682.9231747996,5300067719,E05000370,Clerkenwell,https://www.city.ac.uk/,E09000019,12/27/2020
Islington,Archives,Prison Reform Trust,15 Northburgh Street,,,E09000019,Islington,51.523856185489514,-0.10029720349807829,531887.9641427202,182258.92328968085,5300067920,E05000367,Bunhill,http://www.prisonreformtrust.org.uk/,E09000019,12/27/2020
Islington,Archives,Legal Action Group,242 Pentonville Road,,,E09000019,Islington,51.531192147291016,-0.11970106138684536,530520.9645160345,183039.9230746269,5300073296,E05000368,Caledonian,https://www.lag.org.uk/,E09000019,12/27/2020
Islington,Archives,Association for the Conservation of Energy,Westgate House ,2a Prebend Street,,E09000019,Islington,51.53567981659257,-0.09686313372981865,532091.964089138,183579.92293003795,5300075757,E05000380,St. Peter's,https://www.ukace.org/,E09000019,12/27/2020
Islington,Archives,UKCISA: UK Council for International Student Affairs,9-17 St Albans Place,,,E09000019,Islington,51.53662961935972,-0.10442271349906376,531564.96423153,183671.92290477606,5300084159,E05000379,St. Mary's,https://www.ukcisa.org.uk/,E09000019,12/27/2020
Islington,Archives,Museum of Order of St John,St John's Gate ,St John's Lane,,E09000019,Islington,51.52192262085998,-0.10251113968126638,531739.9641825538,182039.92334844946,5300085644,E05000370,Clerkenwell,http://museumstjohn.org.uk/,E09000019,12/27/2020
Islington,Archives,British Psychological Society: History of Psychology Centre,30 Tabernacle St,,,E09000019,Islington,51.5231933158545,-0.0860822538539598,532875.9638722115,182210.92330145492,5300089442,E05000367,Bunhill,https://www.bps.org.uk/about-us/history-psychology-centre,E09000019,12/27/2020
Islington,Archives,Tavistock Institute of Human Relations,30 Tabernacle Street,,,E09000019,Islington,51.5231933158545,-0.0860822538539598,532875.9638722115,182210.92330145492,5300089442,E05000367,Bunhill,http://www.tavinstitute.org/,E09000019,12/27/2020
Islington,Archives,Working Men's Club & Institute Union Ltd,253-254 Upper Street,,,E09000019,Islington,51.54566033595098,-0.1034415082867641,531606.9642168323,184677.92263032676,5300094941,E05000379,St. Mary's,http://www.wmciu.org.uk/,E09000019,12/27/2020
Islington,Archives,British Deaf Association,1-3 Worship Street,,,E09000019,Islington,51.52231070353526,-0.08655173709362374,532845.963880714,182111.9233286457,5300099044,E05000367,Bunhill,https://bda.org.uk/,E09000019,12/27/2020
Islington,Archives,Save the Children UK,1 St John's Lane,,,E09000019,Islington,51.52076509979216,-0.10211241904071244,531770.9641737299,181911.92338285333,10001298735,E05000370,Clerkenwell,https://www.savethechildren.org.uk/,E09000019,12/27/2020
Islington,Archives,National Council for Voluntary Youth Services,Third Floor ,Lancaster House,33 Islington High Street,E09000019,Islington,51.53305669988256,-0.10647446833028684,531432.9642688844,183270.92301369004,10008978268,E05000366,Barnsbury,NA,E09000019,12/27/2020
Islington,Archives,Guardian News & Media Archive (formerly the Newsroom),Kings Place ,90 York Way,,E09000019,Islington,51.534998685683775,-0.12154839713330298,530381.9645534556,183459.9229602656,10012790864,E05000368,Caledonian,https://www.theguardian.com/gnm-archive,E09000019,12/27/2020
Islington,Archives,ActionAid Central Archive,Resource Centre Hamlyn House ,Macdonald Road ,Archway,E09000019,Islington,51.565680990045486,-0.13560724282812378,529319.9648432065,186846.92204267194,10012791132,E05000376,Junction,https://www.actionaid.org.uk/changelives/donate?src=ppc&utm_content=A197_A822_A000329&ds_rl=1248098&gclid=EAIaIQobChMIwvjprfb23gIVieJ3Ch1CzQ8qEAAYASAAEgLH_vD_BwE&gclsrc=aw.ds,E09000019,12/27/2020
Islington,Archives,Evangelical Alliance,176 Copenhagen Street,,,E09000019,Islington,51.53708311662908,-0.11974658669181422,530500.9645198267,183694.92289579782,10012792269,E05000368,Caledonian,https://www.eauk.org/,E09000019,12/27/2020
Islington,Archives,National Council of Voluntary Child Care Organisations,Unit 25,1st Floor,Angel Gate,E09000019,Islington,51.52925214192813,-0.10142772905825495,531793.9641699617,182856.92312752106,10023216009,E05000367,Bunhill,,E09000019,12/27/2020
Islington,Archives,Church Times,108-114 Golden Lane,,,E09000019,Islington,51.52353626788522,-0.09499115398056324,532256.9640415909,182232.92329616757,10090262788,E05000367,Bunhill,https://www.churchtimes.co.uk/,E09000019,12/27/2020
Islington,Archives,Islington Local History Centre,Finsbury Library,Islington Museum and Local History Centre and Finsbury Housing Office 245 St John St,,E09000019,Islington,51.52648754808226,-0.1045270017088627,531586.9642255709,182543.92321233544,10091003195,E05000370,Clerkenwell,https://www.islington.gov.uk/libraries-arts-and-heritage/heritage/local-history-centre,E09000019,12/27/2020
Islington,Archives,Community Service Volunteers,237 Pentonville Road,,,E09000019,Islington,51.53092501803064,-0.11818377968335327,530626.9644872171,183012.92308179714,10093112761,E05000370,Clerkenwell,https://volunteeringmatters.org.uk/news/national-charity-community-service-volunteers-csv-becomes-volunteering-matters/,E09000019,12/27/2020
