BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Kensington and Chelsea,Archives,Brompton Oratory,Brompton Road,,,E09000020,Kensington and Chelse,51.497470717636766,-0.16981521843262157,527138.9654326638,179201.92411979905,217007711,E05009389,Brompton & Hans Town,NA,E09000020,12/27/2020
Kensington and Chelsea,Archives,Chelsea and Westminster Hospital Archives,369 Fulham Road,,,E09000020,Kensington and Chelse,51.48425238850248,-0.18143497565398584,526368.96564226,177711.92452153936,217033201,E05009405,Stanley,NA,E09000020,12/27/2020
Kensington and Chelsea,Archives,Leighton House Museum,12 Holland Park Road,,,E09000020,Kensington and Chelse,51.49858781604862,-0.20309513475435398,524825.9660610931,179268.9241026265,217039506,E05009397,Holland,https://www.rbkc.gov.uk/subsites/museums/leightonhousemuseum1.aspx,E09000020,12/27/2020
Kensington and Chelsea,Archives,Commonwealth Institute,Commonwealth Resources Centre,Kensington High Street,,E09000020,Kensington and Chelse,51.49987442909856,-0.2001590274186053,525026.2360062946,179417.00406246097,217044656,E05009397,Holland,,E09000020,12/27/2020
Kensington and Chelsea,Archives,London University: Heythrop College,Kensington Square,,,E09000020,Kensington and Chelse,51.49946247904268,-0.19024769953888385,525715.2758190068,179388.15406876017,217046014,E05009401,Queen's Gate,http://www.heythrop.ac.uk/,E09000020,12/27/2020
Kensington and Chelsea,Archives,"Offer, Watermann & Co",11 Langton Street,,,E09000020,Kensington and Chelse,51.482291478761496,-0.18082161803914903,526416.9656295994,177494.9245807067,217051629,E05009405,Stanley,https://www.waterman.co.uk/,E09000020,12/27/2020
Kensington and Chelsea,Archives,Royal British Society of Sculptors,108 Old Brompton Road,,,E09000020,Kensington and Chelse,51.4917313864425,-0.1795095414648897,526481.9656100149,178546.9242957029,217060814,E05009393,Courtfield,https://sculptors.org.uk/,E09000020,12/27/2020
Kensington and Chelsea,Archives,State Apartments and Court Dress Collection: Kensington Palace,Kensington Palace,,,E09000020,Kensington and Chelse,51.50519933571256,-0.1880218178291348,525853.965781191,180029.92389315076,217064431,E05009390,Campden,https://www.hrp.org.uk/kensington-palace/explore/the-queen-s-state-apartments/#gs.cTpT3ik,E09000020,12/27/2020
Kensington and Chelsea,Archives,National Army Museum Templer Study Centre,Royal Hospital Road Chelsea,,,E09000020,Kensington and Chelse,51.48622896771741,-0.16033743746956552,527828.2352455632,177968.31445289432,217075883,E05009403,Royal Hospital,https://www.nam.ac.uk/collections/templer-study-centre,E09000020,12/27/2020
Kensington and Chelsea,Archives,Chelsea Physic Garden,66 Royal Hospital Road,,,E09000020,Kensington and Chelse,51.48457384033123,-0.16225154940184489,527699.9652804816,177780.9245033135,217102618,E05009403,Royal Hospital,https://www.chelseaphysicgarden.co.uk/,E09000020,12/27/2020
Kensington and Chelsea,Archives,Chelsea Library,Old Town Hall ,Kings Road,,E09000020,Kensington and Chelse,51.48747215547887,-0.16817033300282228,527280.9653923407,178092.92442042544,217105143,E05009403,Royal Hospital,https://www.rbkc.gov.uk/libraries/your-library/find-library/chelsea-library,E09000020,12/27/2020
Kensington and Chelsea,Archives,Eighteen Stafford Terrace: Sambourne Family Archive,18 Stafford Terrace,,,E09000020,Kensington and Chelse,51.500452227569234,-0.19684068131462096,525254.9659440535,179486.9240430703,217107937,E05009390,Campden,https://www.rbkc.gov.uk/subsites/museums/18staffordterrace1.aspx,E09000020,12/27/2020
Kensington and Chelsea,Archives,"National Art Library, Victoria & Albert Museum",Cromwell Road,,,E09000020,Kensington and Chelse,51.496902278884406,-0.17209803311410066,526982.0954750058,179134.7541378226,217108016,E05009389,Brompton & Hans Town,https://www.vam.ac.uk/info/national-art-library/,E09000020,12/27/2020
Kensington and Chelsea,Archives,"Victoria & Albert Museum, Department of Designs, Prints and Drawings",Cromwell Road,,,E09000020,Kensington and Chelse,51.496902278884406,-0.17209803311410066,526982.0954750058,179134.7541378226,217108016,E05009389,Brompton & Hans Town,http://www.vam.ac.uk/page/d/drawings/,E09000020,12/27/2020
Kensington and Chelsea,Archives,Royal Institute of British Architects,British Architectural Library Drawings and Archives Collections Victoria and Albert Museum ,Cromwell Road,,E09000020,Kensington and Chelse,51.496902278884406,-0.17209803311410066,526982.0954750058,179134.7541378226,217108016,E05009389,Brompton & Hans Town,https://www.architecture.com/,E09000020,12/27/2020
Kensington and Chelsea,Archives,"Victoria & Albert Museum, Department of Textiles and Dress",Cromwell Road,,,E09000020,Kensington and Chelse,51.496902278884406,-0.17209803311410066,526982.0954750058,179134.7541378226,217108016,E05009389,Brompton & Hans Town,http://www.vam.ac.uk/content/articles/v/the-v-and-a-textiles-and-fashion-collection/,E09000020,12/27/2020
Kensington and Chelsea,Archives,Natural History Museum Library and Archives,Cromwell Road ,South Kensington,,E09000020,Kensington and Chelse,51.49656438319557,-0.1768677216067732,526651.9655644953,179088.92414955766,217110763,E05009389,Brompton & Hans Town,http://www.nhm.ac.uk/our-science/departments-and-staff/library-and-archives.html,E09000020,12/27/2020
Kensington and Chelsea,Archives,Armenian Institute,Armenian Church Hall, Iverna Gardens,,E09000020,Kensington and Chelse,51.49955292192053,-0.1933318626925314,525500.9658772715,179392.92406794924,217116743,E05009388,Abingdon,http://www.armenianinstitute.org.uk/,E09000020,12/27/2020
Kensington and Chelsea,Archives,Kensington and Chelsea Libraries and Arts Service,Central Library ,Phillimore Walk,,E09000020,Kensington and Chelse,51.501418894508696,-0.19440609453588437,525421.2858988293,179598.58401224692,217125485,E05009390,Campden,https://www.rbkc.gov.uk/leisure-and-culture/culture/arts-services,E09000020,12/27/2020
Kensington and Chelsea,Artists workspaces,Blechynden St,54 Blechynden St,,,E09000020,Kensington and Chelsea,51.514481151006066,-0.21686752032259063,523826.9663326646,181012.9236262589,217107233,E05009399,Notting Dale,www.acava.org,E09000020,12/27/2020
Kensington and Chelsea,Artists workspaces,Maxilla Walk,4 Maxilla Walk,,,E09000020,Kensington and Chelsea,51.516299223800864,-0.21578756386915438,523896.9663140444,181216.9235712117,217057292,E05009404,St. Helen's,www.acava.org,E09000020,12/27/2020
Kensington and Chelsea,Artists workspaces,The Crow's Nest,3-5 Crowthorne Rd,,,E09000020,Kensington and Chelsea,51.51638109401508,-0.21999299584307935,523604.96639336285,181218.92357040168,217022375,E05009404,St. Helen's,www.artcoreint.net,E09000020,12/27/2020
Kensington and Chelsea,Artists workspaces,Buspace Studios,5 Conlan Street,Unit127,,E09000020,Kensington and Chelsea,51.52546573251045,-0.21126285331778158,524185.966235531,182243.92329252354,217120223,E05009396,Golborne,http://www.buspace.co.uk/,E09000020,12/27/2020
Kensington and Chelsea,Arts centres,The Tabernacle,35 Powis Square,off Portobello Road,,E09000020,Kensington and Chelsea,51.516968162397546,-0.2018814067603197,524859.966053673,181314.9235454888,217070132,E05009392,Colville,https://www.tabernaclew11.com/,E09000020,12/27/2020
Kensington and Chelsea,Cinemas,Cineworld Fulham Road,,142 Fulham Road,,E09000020,Kensington and Chelsea,51.48715248417167,-0.17940385244619605,526501.9657274454,178037.9245555625,000217101389,E05009402,Redcliffe,www.cineworld.co.uk,E09000020,12/27/2020
Kensington and Chelsea,Cinemas,Curzon Chelsea,,206 King's Road,,E09000020,Kensington and Chelsea,51.48812685261667,-0.16748149271288,527326.9655019962,178166.92452264368,000217047105,E05009405,Stanley,,E09000020,12/27/2020
Kensington and Chelsea,Cinemas,Cine Lumiere,Institut Francais,17 Queensberry Place,,E09000020,Kensington and Chelsea,51.494555076489625,-0.17719283371926248,526634.9656907829,178864.92433233547,000217072593,E05009389,Brompton & Hans Town,https://www.institut-francais.org.uk/cine-lumiere/,E09000020,12/27/2020
Kensington and Chelsea,Cinemas,Gate Picturehouse,,87 Notting Hill Gate,,E09000020,Kensington and Chelsea,51.50874072662205,-0.19724822777492632,525203.966079745,180407.9239137718,010091855182,E05009390,Campden,,E09000020,12/27/2020
Kensington and Chelsea,Cinemas,Electric Cinema (Portobello),,191 Portobello Road,Notting Hill Gate,E09000020,Kensington and Chelsea,51.51552415786374,-0.20506588997293446,524642.9662340509,181148.92371255212,000217069435,E05009392,Colville,,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Crane Kalman,178 Brompton Road,NA,NA,E09000020,Kensington and Chelsea,51.4979710461788,-0.16730268608382956,527311.9655079299,179261.92422555143,217007694,E05009389,Brompton & Hans Town,http://cranekalman.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Hollywood Road Gallery,12 Hollywood Road,NA,NA,E09000020,Kensington and Chelsea,51.486038419892495,-0.18469114887024732,526137.9658272105,177904.9245909077,217040769,E05009402,Redcliffe,http://www.hollywoodroadgallery.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,The Rowley Gallery,115 Kensington Church Street,NA,NA,E09000020,Kensington and Chelsea,51.50677826413238,-0.19477513683864434,525380.966031731,180193.92397169385,217043176,E05009390,Campden,http://www.rowleygallery.co.uk/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Japanese Gallery,66D Kensington Church St,NA,NA,E09000020,Kensington and Chelsea,51.50532413088944,-0.19378073253652278,525453.9660119428,180033.92401523615,217043283,E05009390,Campden,http://www.japanese-gallery.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Northcote Gallery Chelsea,253 Kingâs Road,NA,NA,E09000020,Kensington and Chelsea,51.48604711487272,-0.17199313452886128,527019.5255835608,177927.82454965287,217046439,E05009391,Chelsea Riverside,http://www.northcotegallery.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Museum of Brands,111-117 Lancaster Road,NA,NA,E09000020,Kensington and Chelsea,51.51637172195887,-0.21110047071965984,524221.96634821664,181232.92368929234,217050374,E05009399,Notting Dale,http://www.museumofbrands.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,James Harvey British Art,15 Langton Street,NA,NA,E09000020,Kensington and Chelsea,51.48235595210937,-0.18091986991138767,526409.9657536048,177501.92470088857,217051631,E05009405,Stanley,http://www.jhba.co.uk/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Doyle Devere,30 Ledbury Road,NA,NA,E09000020,Kensington and Chelsea,51.51387222378175,-0.1987894317489159,525082.9661139935,180975.92375970865,217052558,E05009400,Pembridge,http://www.doyledevere.co.uk/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,The Orangery,Holland Park,NA,NA,E09000020,Kensington and Chelsea,51.50657125597892,-0.1877656207162116,525867.9658994594,180182.92397327645,217064477,E05009390,Campden,http://www.rbkc.gov.uk/subsites/museums/theorangery.aspx#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Tryon St,7-9 Tryon Street,NA,NA,E09000020,Kensington and Chelsea,51.490330752436236,-0.16292757024762405,527636.965417878,178419.92445429362,217087920,E05009403,Royal Hospital,http://www.tryonst.co.uk/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Lacey Contemporary,8 Clarendon Cross,NA,NA,E09000020,Kensington and Chelsea,51.51049445654745,-0.21017792998165227,524301.9663251464,180580.92386617983,217103015,E05009399,Notting Dale,http://www.laceycontemporarygallery.co.uk/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,The Dot Project,94 Fulham Road,NA,NA,E09000020,Kensington and Chelsea,51.489795851786454,-0.17532281890317092,526777.9656516023,178338.92447508615,217103153,E05009393,Courtfield,http://www.thedotproject.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Offer Waterman & Co,11 Langton Street,NA,NA,E09000020,Kensington and Chelsea,51.482291479831545,-0.1808216162380594,526416.9657516992,177494.92470280593,217103621,E05009405,Stanley,http://www.waterman.co.uk/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Cadogan Contemporary,87 Old Brompton Road,NA,NA,E09000020,Kensington and Chelsea,51.492518171226315,-0.17689957421006378,526660.9656832658,178638.924393697,217103741,E05009393,Courtfield,http://www.cadogancontemporary.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,The Muse,269 Portobello Rd,NA,NA,E09000020,Kensington and Chelsea,51.51793441137311,-0.20684485116546608,524512.9662695407,181413.92364031734,217103948,E05009392,Colville,http://themuseat269.com/#,E09000020,12/27/2020
Kensington and Chelsea,Commercial galleries,Medici Gallery (south Kensington),26 Thurloe Street,NA,NA,E09000020,Kensington and Chelsea,51.49429237762958,-0.17360176035150193,526884.9656226847,178841.924339424,217104170,E05009389,Brompton & Hans Town,http://www.medicigallery.co.uk/c/183/Contact,E09000020,12/27/2020
