BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Kingston upon Thames,Artists workspaces,Hawks Road,47-51 Hawks Road,Kingston Upon Thames,,E09000021,Kingston upon Thames,51.40818644360322,-0.2932248308933918,518804.4676998292,169066.32687318773,10025170552,E05000409,Norbiton,www.ascstudios.co.uk,E09000021,12/27/2020
Kingston upon Thames,Cinemas,Odeon Kingston,,Clarence Street,,E09000021,Kingston upon Thames,51.41170694687227,-0.2993418794085,518369.96793997067,169447.92689036264,000128004717,E05000408,Grove,,E09000021,12/27/2020
Kingston upon Thames,Community centres,Shiraz Mirza Hall (Norbiton),76 Coombe Road,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.41236776024228,-0.2829955426454576,519504.96763206914,169547.92686626577,100023059174,E05000406,Coombe Hill,http://www.shirazm.org.uk/norbiton/index.php,E09000021,12/27/2020
Kingston upon Thames,Community centres,Tudor Hall,Tudor Drive,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.42631988537038,-0.2975043129604656,518459.96791682,171075.92644799832,128039996,E05000415,Tudor,https://venuesinkingston.co.uk/venue/tudor-hall/,E09000021,12/27/2020
Kingston upon Thames,Community centres,Shiraz Mirza Hall (Manor Park Hall),Manor Park Hall,316 Malden Road,Kingston Upon Thames,E09000021,Kingston upon Thames,51.387328444716736,-0.25113426679188683,521786.9670099673,166815.927608327,128041830,E05000411,St. James,http://www.shirazm.org.uk/new-malden/index.php,E09000021,12/27/2020
Kingston upon Thames,Community centres,Hook Centre,Hook Road,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.36791922606943,-0.30603410474035586,518016.968033959,164567.92821594898,100023067317,E05000404,Chessington North and Hook,https://www.kingston.gov.uk/info/200203/hook_centre_and_music_studio/293/about_the_hook_centre,E09000021,12/27/2020
Kingston upon Thames,Community centres,Richard Mayo Hall,11 Eden Street,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.40917843869968,-0.3048136307584995,517995.9680412058,169157.92696939805,128042699,E05000408,Grove,https://mayocentre.org.uk/,E09000021,12/27/2020
Kingston upon Thames,Community centres,Graham Spicer Institute,Dukes Avenue,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.40296760717505,-0.2554120712470757,521447.9671030454,168547.92713796598,128006114,E05000402,Beverley,http://www.graham-spicer-institute.org.uk/images/e.png,E09000021,12/27/2020
Kingston upon Thames,Community centres,Canbury Pavillion,Lower Ham Road,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.417036847807125,-0.3059896688446026,517893.96807173913,170029.92673259287,128029983,E05000415,Tudor,,E09000021,12/27/2020
Kingston upon Thames,Community centres,Milapp Day Centre,142 Acre Road,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.41708258444122,-0.2948851691917902,518665.9678608915,170052.9267270097,128041918,E05000403,Canbury,http://www.milaapcentrekingston.org.uk/,E09000021,12/27/2020
Kingston upon Thames,Community centres,Hook Centre Community Hall,Hook Road,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.36791922606943,-0.30603410474035586,518016.968033959,164567.92821594898,10091803267,E05000404,Chessington North and Hook,https://www.kingston.gov.uk/info/200203/hook_centre/434/hook_centre_community_hall_and_meeting_room/4,E09000021,12/27/2020
Kingston upon Thames,Community centres,Kingston Working Men's Club & Institute,25 Old London Road,Kingston Upon Thames,NA,E09000021,Kingston upon Thames,51.41123185702304,-0.29944580332704845,518363.96794142283,169394.92690477264,100023059084,E05000408,Grove,http://www.kingstonworkingmensclub.com/,E09000021,12/27/2020
Kingston upon Thames,Community centres,Surbiton Library Hall,Ewell Rd, Surbiton,NA,E09000021,Kingston upon Thames,51.3928009895525,-0.2978862055774505,518519.96790136385,167347.92746048368,128006816,E05000401,Berrylands,https://www.kingston.gov.uk/info/200208/libraries/301/branch_surbiton_library/4,E09000021,12/27/2020
Kingston upon Thames,Community centres,New Malden Library Hall,Kingston Rd, New Malden,NA,E09000021,Kingston upon Thames,51.39929772108322,-0.2607989871591059,521082.9672033523,168130.92725095566,128010803,E05000402,Beverley,https://www.kingston.gov.uk/info/200208/libraries/299/branch_new_malden_library/4,E09000021,12/27/2020
Kingston upon Thames,Community centres,The Guildhall,Kingston UNISON,107 Guildhall 1,Kingston upon Thames,E09000021,Kingston upon Thames,51.408366152438056,-0.30523188693497844,517968.96804839687,169066.92699423764,128008649,E05000408,Grove,,E09000021,12/27/2020
Kingston upon Thames,Community centres,The Fircroft Trust,The Fircroft Trust,Fircroft,96 Ditton Road,E09000021,Kingston upon Thames,51.38198217908222,-0.30404978809431654,518118.9680099574,166134.92779293942,100023066178,E05000413,Surbiton Hill,http://thefircrofttrust.org/,E09000021,12/27/2020
Kingston upon Thames,Dance performance venues,Rose Theatre,24-26 High Street,,,E09000021,Kingston upon Thames,51.40864310437742,-0.30759420135686405,517803.967971867,169093.92686509853,128029778,E05000408,Grove,http://www.rosetheatrekingston.org,E09000021,12/27/2020
Kingston upon Thames,Dance performance venues,St John's Church,Grove Ln,,,E09000021,Kingston upon Thames,51.403085419888846,-0.30075420721479335,518293.96783602575,168486.92702962784,128008048,E05000408,Grove,http://www.stjohnskingston.co.uk,E09000021,12/27/2020
Kingston upon Thames,Dance rehearsal studios,Ballet Boyz  - Studio 52,52a Canterbury Park Road,,,E09000021,Kingston upon Thames,51.4130041048849,-0.29825830109127044,518441.9677987959,169593.92672876938,128037963,E05000403,Canbury,http://www.balletboyz.com,E09000021,12/27/2020
Kingston upon Thames,Dance rehearsal studios,Kingston University,53-57 High Street,,,E09000021,Kingston upon Thames,51.40591237878476,-0.3078099094169635,517795.9679731136,168789.92694808764,128008662,E05000408,Grove,http://www.kingston.ac.uk,E09000021,12/27/2020
Kingston upon Thames,Jewellery design,Agora Consultancy Services Ltd,20 Market Place,Kingston Upon Thames,,E09000021,Kingston upon Thames,51.41010323249309,-0.3059585228818032,517913.96806409303,169258.92694211187,100023056324,E05000408,Grove,,E09000021,12/27/2020
Kingston upon Thames,Libraries,Hook and Chessington Library,Hook Road,Chessington,,E09000021,Kingston upon Thames,51.36791922606943,-0.30603410474035586,518016.968033959,164567.92821594898,10091803267,E05000404,Chessington North and Hook,,E09000021,12/27/2020
Kingston upon Thames,Libraries,Tolworth Community Library,Tolworth Broadway,Tolworth,,E09000021,Kingston upon Thames,51.381080147010934,-0.28225447907246093,519637.96759513987,166069.92780973046,128002519,E05000400,Alexandra,,E09000021,12/27/2020
Kingston upon Thames,Libraries,Old Malden Library,Church Road,Worcester Park,,E09000021,Kingston upon Thames,51.38376017554562,-0.25487741657742435,521535.9670773079,166412.92771742097,128004320,E05000410,Old Malden,,E09000021,12/27/2020
Kingston upon Thames,Libraries,Surbiton Library,Ewell Road,Surbiton,,E09000021,Kingston upon Thames,51.3928009895525,-0.2978862055774505,518519.96790136385,167347.92746048368,128006816,E05000401,Berrylands,,E09000021,12/27/2020
Kingston upon Thames,Libraries,New Malden Library,Kingston Road,New Malden,,E09000021,Kingston upon Thames,51.39929772108322,-0.2607989871591059,521082.9672033523,168130.92725095566,128010803,E05000402,Beverley,,E09000021,12/27/2020
Kingston upon Thames,Libraries,Kingston Library,Fairfield Road,Kingston Upon Th,,E09000021,Kingston upon Thames,51.409346114534436,-0.3002491798682071,518312.9679544729,169183.92696208414,128019808,E05000408,Grove,,E09000021,12/27/2020
Kingston upon Thames,Libraries,Tudor Drive Library,Tudor Drive,Kingston Upon Th,,E09000021,Kingston upon Thames,51.42631988537038,-0.2975043129604656,518459.96791682,171075.92644799832,128039997,E05000415,Tudor,,E09000021,12/27/2020
Kingston upon Thames,Museums and public galleries,Dorich House Museum,Kingston University,67 Kingston Vale,NA,E09000021,Kingston upon Thames,51.433341459273834,-0.2630882903421483,520833.96727172297,171912.92622145644,128010892,E05000406,Coombe Hill,https://www.dorichhousemuseum.org.uk/,E09000021,12/27/2020
Kingston upon Thames,Museums and public galleries,Kingston Museum (and Heritage Service),W6 9TA,NA,NA,E09000021,Kingston upon Thames,51.40955345453804,-0.30028462305532405,518309.96795536275,169206.9269558115,128019799,E05000408,Grove,http://www.kingston.gov.uk/museum,E09000021,12/27/2020
Kingston upon Thames,Music (office based businesses),Graham Music Publishers Ltd,52 Brighton Road,Kingston Upon Thames,,E09000021,Kingston Upon Thames,51.39193614395244,-0.31020781709577,517664.96813271,167231.92749291263,10091802918,E05000412,St. Mark's,,E09000021,12/27/2020
Kingston upon Thames,Music (office based businesses),Lonesome Dog Studios,Unit 227 Kingspark Business Centre 152-,Kingston Road,Kingston Upon Thames,E09000021,Kingston Upon Thames,51.401509866937396,-0.27112408769113905,520358.9674001941,168359.9271883131,128031418,E05000402,Beverley,,E09000021,12/27/2020
Kingston upon Thames,Music (office based businesses),Pattern Records Ltd,21 Grantchester,St. Peters Road,Kingston Upon Thames,E09000021,Kingston Upon Thames,51.40940090215737,-0.28857098477713977,519124.96773580497,169208.9269569416,100000000000,E05000409,Norbiton,,E09000021,12/27/2020
Kingston upon Thames,Music (office based businesses),Tigersun Records Ltd,53 Latchmere Lane,Kingston Upon Thames,,E09000021,Kingston Upon Thames,51.424175214807036,-0.29595868002769443,518572.9678861738,170839.92651163542,100000000000,E05000415,Tudor,,E09000021,12/27/2020
