BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Lambeth,Archives,The Wyndham Ashworth Archive,2 Salamanca Place ,Albert Embankment,,E09000022,Lambeth,51.49154783169798,-0.12055552226890828,530574.9644984191,178629.92427195504,10008789585,E05000427,Prince's,http://www.wyndhamashworth.org/,E09000022,12/27/2020
Lambeth,Archives,Prospect,Prospect House ,75-79 York Street,,E09000022,Lambeth,51.50217833214983,-0.11632906851380032,530837.9244263013,179819.58395197772,10023851808,E05000416,Bishop's,https://www.prospect.org.uk/,E09000022,12/27/2020
Lambeth,Archives,"Cinema Museum, Ronald Grant Archive",The Master's House ,The Old Lambeth Workhouse ,2 Dugard Way Off Renfrew Road,E09000022,Lambeth,51.49228045223704,-0.1051689132149127,531640.9642086462,178738.92424213805,10023852579,E05000427,Prince's,http://www.ronaldgrantarchive.com/,E09000022,12/27/2020
Lambeth,Archives,Topolski Century,150-152 Hungerford Bridge, Concert Hall Approach ,Waterloo,E09000022,Lambeth,51.50484917658799,-0.11576900213455753,530869.1444174072,180117.58386958286,10091117071,E05000416,Bishop's,http://www.topolskicentury.org.uk/,E09000022,12/27/2020
Lambeth,Archives,Black Cultural Archives,1 Windrush Square ,Brixton,,E09000022,Lambeth,51.46051637848736,-0.11457231558598271,531079.1243602448,175189.87520920509,10091118537,E05000420,Coldharbour,https://blackculturalarchives.org/,E09000022,12/27/2020
Lambeth,Archives,Lambeth Archives,Minet Library ,52 Knatchbull Road,,E09000022,Lambeth,51.47129501124588,-0.10539023539149628,531685.9641963433,176404.92487947224,100022000000,E05000436,Vassall,https://www.lambeth.gov.uk/places/lambeth-archives,E09000022,12/27/2020
Lambeth,Archives,European Movement,Southbank House, Black Prince Road,,E09000022,Lambeth,51.49222021263968,-0.1198652096701199,530620.9644861078,178705.9242509636,100023000000,E05000427,Prince's,http://www.europeanmovement.co.uk/,E09000022,12/27/2020
Lambeth,Archives,International Fund for Animal Welfare Charitable Trust,87-90 Albert Embankment,,,E09000022,Lambeth,51.48796534325724,-0.12371333545372953,530365.9645548416,178225.9243831623,100023000000,E05000427,Prince's,https://www.ifaw.org/united-kingdom/frontpage,E09000022,12/27/2020
Lambeth,Archives,Ramblers Association,2nd Floor Camelford House ,87-90 Albert Embankment,,E09000022,Lambeth,51.48796534325724,-0.12371333545372953,530365.9645548416,178225.9243831623,100023000000,E05000427,Prince's,https://www.ramblers.org.uk/,E09000022,12/27/2020
Lambeth,Archives,King's College London: St Thomas' House Library,St Thomas' Hospital ,Lambeth Palace Road,,E09000022,Lambeth,51.499489579934334,-0.11838448317934318,530702.9644633527,179516.9240347147,100023000000,E05000416,Bishop's,https://www.kcl.ac.uk/library/visiting/stthomas.aspx,E09000022,12/27/2020
Lambeth,Archives,Marine Society,202 Lambeth Road,,,E09000022,Lambeth,51.49554588840226,-0.11640035737263116,530851.9644231814,179081.92415055982,100023000000,E05000416,Bishop's,https://www.marine-society.org/,E09000022,12/27/2020
Lambeth,Archives,Sea Cadet Association,202 Lambeth Road,,,E09000022,Lambeth,51.49554588840226,-0.11640035737263116,530851.9644231814,179081.92415055982,100023000000,E05000416,Bishop's,https://www.sea-cadets.org/,E09000022,12/27/2020
Lambeth,Archives,Garden Museum Archives,Garden Museum ,5 Lambeth Palace Road,,E09000022,Lambeth,51.49504922675156,-0.12019535992693732,530589.9644942671,179019.92416723835,100023000000,E05000416,Bishop's,https://gardenmuseum.org.uk/archive/,E09000022,12/27/2020
Lambeth,Archives,Rambert Dance Company Archives,99 Upper Ground,,,E09000022,Lambeth,51.5061740428866,-0.11352326943298152,531021.1943757858,180268.9238279881,100023000000,E05000416,Bishop's,http://www.rambert.org.uk/explore/rambert-archive/,E09000022,12/27/2020
Lambeth,Archives,Countryside Alliance,The Old Town ,367 Kennington Road,,E09000022,Lambeth,51.486819080378886,-0.11112809627267999,531242.9643173442,178120.92441161652,100023000000,E05000427,Prince's,http://www.countryside-alliance.org/,E09000022,12/27/2020
Lambeth,Archives,D'Oyly Carte Opera Company,N302 North Block Vox Studios,,,E09000022,Lambeth,51.48847861282862,-0.11087225991589794,531255.9643137476,178305.9243607886,100023000000,E05000427,Prince's,http://www.doylycarte.org.uk/,E09000022,12/27/2020
