BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Lewisham,Archives,Lewisham Local History and Archives Centre,Lewisham Library ,199-201 Lewisham High Street,,E09000023,Lewisham,51.459274496733315,-0.011657206843843812,538231.9624175789,175240.92519521737,10023235063,E05000448,Lewisham Central,https://www.lewisham.gov.uk/inmyarea/history/archives/Pages/default.aspx,E09000023,12/27/2020
Lewisham,Archives,IRIE! dance theatre,Moonshot Centre ,Fordham Park ,Angus Street,E09000023,Lewisham,51.477856808382086,-0.0353019716561354,536533.9628772199,177262.92464474705,10093394257,E05000449,New Cross,https://www.iriedancetheatre.org/,E09000023,12/27/2020
Lewisham,Archives,MAKE Resource Centre Collections (formerly the Women's Art Library),London University: Goldsmiths College The Library Lewisham Way ,,New Cross,E09000023,Lewisham,51.474143961065394,-0.03537519941363767,536539.9628752985,176849.9247571688,100023000000,E05000439,Brockley,https://www.gold.ac.uk/make/,E09000023,12/27/2020
Lewisham,Archives,London University: Goldsmiths Library: Special Collections and Archives,Goldsmiths University of London ,New Cross,,E09000023,Lewisham,51.474143961065394,-0.03537519941363767,536539.9628752985,176849.9247571688,100023000000,E05000439,Brockley,https://www.gold.ac.uk/library/collections/special-collections/,E09000023,12/27/2020
Lewisham,Archives,Horniman Museum and Gardens,100 London Road,,,E09000023,Lewisham,51.44113086862395,-0.060736392436844804,534875.963330574,173131.92576861434,100023000000,E05000444,Forest Hill,https://www.horniman.ac.uk/,E09000023,12/27/2020
Lewisham,Archives,Illustrated London News Picture Library,Mary Evans Picture Library ,59 Tranquil Vale,Blackheath,E09000023,Lewisham,51.46670535019201,0.006662793064093619,539481.9620774874,176101.92495935067,100023000000,E05000438,Blackheath,https://www.maryevans.com/collect.php,E09000023,12/27/2020
Lewisham,Archives,Bible Churchmens Missionary Society,BCMS Crosslinks, 251 Lewisham Way,,E09000023,Lewisham,51.46925434038013,-0.026960722085345355,537138.962713744,176321.92490170756,100023000000,E05000439,Brockley,https://missiology.org.uk/societies_bcms.php,E09000023,12/27/2020
Lewisham,Archives,Trinity Laban Conservatoire of Music and Dance: Laban Archive,Laban Creekside,,,E09000023,Lewisham,51.48032533091159,-0.019007985149250492,537657.9625746607,177567.92456245044,100024000000,E05000449,New Cross,https://www.trinitylaban.ac.uk/student-life/facilities/faculty-of-dance/laban-library-archive,E09000023,12/27/2020
Lewisham,Archives,Haberdashers' Aske's Federation Trust: Hatcham College,135 Pepys Road,,,E09000023,Lewisham,51.46768410717051,-0.04272219355445505,536048.9630091635,176117.92495710962,200001000000,E05000453,Telegraph Hill,https://www.haaf.org.uk/,E09000023,12/27/2020
Lewisham,Artists workspaces,,140 Lewisham Way,,,E09000023,Lewisham,51.471482983336436,-0.030608276519682055,536878.9627835893,176562.92483567778,100000000000,E05000439,Brockley,http://www.lewishamarthouse.org.uk,E09000023,12/27/2020
Lewisham,Artists workspaces,,Harold Wharf,6 Creekside,,E09000023,Lewisham,51.47640150768818,-0.02149665324236014,537496.962615969,177126.92468209827,100000000000,E05000449,New Cross,aptstudios.org,E09000023,12/27/2020
Lewisham,Artists workspaces,Art Hub Deptford,5-9 Creekside,,,E09000023,Lewisham,51.47711773617666,-0.020774388991739758,537544.9626033487,177207.92466012342,10093391623,E05000449,New Cross,www.arthub.org.uk,E09000023,12/27/2020
Lewisham,Artists workspaces,,Cockpit Arts Deptford,18 - 22 Creekside,,E09000023,Lewisham,51.47862646579653,-0.020651416477554294,537548.9626030873,177375.92461451323,200000000000,E05000449,New Cross,www.cockpitarts.com,E09000023,12/27/2020
Lewisham,Artists workspaces,The Old Police Station,114 Amersham Vale,,,E09000023,Lewisham,51.47944481587567,-0.03186368673615841,536767.9628141816,177445.92459509225,100000000000,E05000449,New Cross,www.theoldpolicestation.org/,E09000023,12/27/2020
Lewisham,Artists workspaces,Childers Street,165 Childers Street,Deptford,,E09000023,Lewisham,51.48215624226716,-0.034814615239131104,536554.962872009,177741.9245144645,200001000000,E05000443,Evelyn,www.acme.org.uk,E09000023,12/27/2020
Lewisham,Artists workspaces,"Unit 10, Elizabeth Trading Estate",Juno Way,South Bermondsey,,E09000023,Lewisham,51.48279792331752,-0.0446817498714416,535867.9630608687,177794.92450102523,10093390732,E05000449,New Cross,www.artistic-spaces.co.uk,E09000023,12/27/2020
Lewisham,Artists workspaces,JUNO ENTERPRISE CENTRE,"Unit 14 and 17, Block C",Juno Way,,E09000023,Lewisham,51.48373076482892,-0.04615415170099939,535762.9630898137,177895.92447396385,100023569547,E05000449,New Cross,ceramicsstudio.coop,E09000023,12/27/2020
Lewisham,Artists workspaces,GUILD HOUSE FIRST FLOOR FRONT,ROLLINS STREET,,,E09000023,Lewisham,51.4838955423485,-0.05010797366291832,535487.9631653929,177906.9244715153,200000557503,E05000449,New Cross,cellprojects.org,E09000023,12/27/2020
Lewisham,Artists workspaces,Forest Hill Library,Dartmouth Road,Forest Hill,,E09000023,Lewisham,51.43589344943565,-0.05618142973389783,535207.9632394613,172557.92592644203,100023257020,E05000444,Forest Hill,http://www.v22collection.com,E09000023,12/27/2020
Lewisham,Artists workspaces,Louise House,Dartmouth Road,Forest Hill,,E09000023,Lewisham,51.435933133270574,-0.05586321335401528,535229.9632334433,172562.92592508032,10023226836,E05000444,Forest Hill,http://www.v22collection.com,E09000023,12/27/2020
Lewisham,Artists workspaces,,18 London Road,,,E09000023,Lewisham,51.439700008215794,-0.05471045063347464,535298.963214542,172983.9258096604,100000000000,E05000444,Forest Hill,http://www.canvasandcream.com/,E09000023,12/27/2020
Lewisham,Artists workspaces,,118 Stansted Road,,,E09000023,Lewisham,51.441378194296185,-0.046393940083305885,535871.963058262,173185.92575400072,10093391224,E05000450,Perry Vale,http://www.whirledart.co.uk,E09000023,12/27/2020
Lewisham,Artists workspaces,Catford Dek,Old Town Hall,catford Road,,E09000023,Lewisham,51.44529430145055,-0.020380851387899346,537667.9625712847,173669.9256209621,10023226829,E05000451,Rushey Green,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,E09000023,12/27/2020
Lewisham,Artists workspaces,Leegate Studios,Leegate House,Burnt Ash Road,,E09000023,Lewisham,51.45619314975248,0.011887676950051856,539876.961970753,174942.9252770095,10093393751,E05000447,Lee Green,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,E09000023,12/27/2020
Lewisham,Artists workspaces,Ladywell Bridge,Vaults E1-E7,59 Ladywell Road,,E09000023,Lewisham,51.45683462540093,-0.01839909400882673,537770.9625419014,174956.92527292913,10023230358,E05000448,Lewisham Central,http://www.v22collection.com,E09000023,12/27/2020
Lewisham,Artists workspaces,Manor House,Manor House Library,34 Old Road,,E09000023,Lewisham,51.45731766994548,0.004509413029691234,539360.9621118451,175053.92524542654,100000000000,E05000447,Lee Green,http://www.v22collection.com,E09000023,12/27/2020
