BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Merton,Archives,Royal Medical Benevolent Fund,24 Kings Road,,,E09000024,Merton,51.42115468122391,-0.20154477062166512,525144.9659751563,170660.92644015275,48038818,E05000471,Trinity,https://rmbf.org/,E09000024,12/27/2020
Merton,Archives,University of the Arts London: Wimbledon College of Art,Main Building ,Merton Hall Road,,E09000024,Merton,51.41350764288871,-0.2121304495685617,524429.7361681293,169792.55667512142,48049311,E05000459,Dundonald,https://www.arts.ac.uk/colleges/wimbledon-college-of-arts,E09000024,12/27/2020
Merton,Archives,Wimbledon Society Museum of Local History,22 Ridgway ,Wimbledon,,E09000024,Merton,51.423617868957265,-0.21620597440743947,524118.9662520314,170909.92637160898,48059798,E05000472,Village,http://www.wimbledonmuseum.org.uk/,E09000024,12/27/2020
Merton,Archives,Royal British Nurses Association,The Princess Royal House TA Centre ,Stonecott Hill ,London Road,E09000024,Merton,51.38293673548703,-0.21550615372713866,524277.7462140636,166387.297600665,48085285,E05000465,Lower Morden,http://www.rbna.org.uk/,E09000024,12/27/2020
Merton,Archives,Wimbledon Lawn Tennis Museum: Kenneth Ritchie Wimbledon Library,Church Road,,,E09000024,Merton,51.43449072031368,-0.2144734000809185,524209.96622903156,172121.92604043515,48100056,E05000472,Village,https://www.wimbledon.com/en_GB/atoz/library_research_enquiries.html,E09000024,12/27/2020
Merton,Artists workspaces,Lombard Rd,21c Lombard Rd,,,E09000024,Merton,51.409664275394015,-0.18942784801982757,526018.9657364885,169403.92678091035,48130102,E05000455,Abbey,www.acava.org,E09000024,12/27/2020
Merton,Artists workspaces,Phipps Bridge,The Old Laundry,Phipps Bridge Rd,,E09000024,Merton,51.40526325047764,-0.18222559833211502,526531.9655961723,168926.92691071588,48111562,E05000458,Cricket Green,www.acava.org,E09000024,12/27/2020
Merton,Artists workspaces,Cannizaro Park,Potting Sheds,Cannizaro Park,,E09000024,Merton,51.42373830980491,-0.23251121810812478,522985.0665613383,170895.85637698427,48124885,E05000472,Village,www.acava.org,E09000024,12/27/2020
Merton,Cinemas,Odeon Wimbledon,,39 The Broadway,,E09000024,Merton,51.41961437263562,-0.20489884217573903,524915.9661586691,170483.92660923215,000048105080,E05000459,Dundonald,,E09000024,12/27/2020
Merton,Commercial galleries,The Cynthia Corbett Gallery,15 Claremont Lodge,NA,NA,E09000024,Merton,51.41551641903511,-0.22277732713183288,523683.966493084,169997.92674050323,48022286,E05000469,Raynes Park,http://www.thecynthiacorbettgallery.com/#,E09000024,12/27/2020
Merton,Community centres,Taylor Road Day Centre,Taylor Road, Merton,NA,E09000024,Merton,51.416605152005474,-0.16848688480448465,527455.9654661205,170211.92668479413,48068539,E05000457,Colliers Wood,http://www.positive-network.co.uk/,E09000024,12/27/2020
Merton,Community centres,Pollards Hill - (New Horizons),South Lodge Avenue,Merton,NA,E09000024,Merton,51.39997149297087,-0.13105343577380055,530105.9647514718,168427.92716670147,48065105,E05000467,Pollards Hill,http://www.commonside.net/,E09000024,12/27/2020
Merton,Community centres,North East Mitcham Community Centre,49 Woodland Way,Merton,NA,E09000024,Merton,51.417292636123086,-0.1538327890906729,528472.96519052,170313.92665763438,48075257,E05000461,Graveney,http://www.nemca.org.uk/,E09000024,12/27/2020
Merton,Community centres,South Mitcham Community Centre,Haslemere Avenue,Merton,NA,E09000024,Merton,51.4070213979676,-0.1819402026719743,526546.9657144765,169122.9269790075,48081917,E05000458,Cricket Green,http://www.southmitchamcommunity.org.uk/,E09000024,12/27/2020
Merton,Community centres,Colliers Wood Community Centre,66-72 High Street Collier'S Wood,Merton,NA,E09000024,Merton,51.42052688710642,-0.17622404976477127,526907.1355992956,170634.60656082514,48082185,E05000457,Colliers Wood,https://directories.merton.gov.uk/kb5/merton/directory/service.page?id=ExWbAG6gaDE&familychannel=0,E09000024,12/27/2020
Merton,Community centres,Newminster Road,33 Newminster Road,Merton,NA,E09000024,Merton,51.3884356227258,-0.18497654801964095,526386.9657585367,167050.927544738,48100193,E05000468,Ravensbury,,E09000024,12/27/2020
Merton,Community centres,South Wimbledon Community Centre,78 Victory Road,Merton,NA,E09000024,Merton,51.41796462993211,-0.18810180626604991,526088.3658018336,170329.20661796205,48130927,E05000455,Abbey,http://www.southwimbledoncommunity.com/,E09000024,12/27/2020
Merton,Community centres,High Path Community Resource Centre,63 High Path,Merton,NA,E09000024,Merton,51.413513385896614,-0.18885875492909482,526047.9658498511,169832.9267852971,48082063,E05000455,Abbey,https://www2.merton.gov.uk/health-social-care/adult-social-care/help-at-home/daycentres/hpresourcecentre.htm,E09000024,12/27/2020
Merton,Community centres,Morden Assembly Hall,Tudor Drive,Merton,NA,E09000024,Merton,51.390271993567474,-0.2214558534563622,523843.96645199123,167192.92750345246,48100062,E05000465,Lower Morden,https://www.merton.gov.uk/leisure-recreation-and-culture/hall-hire/morden-assembly-hall,E09000024,12/27/2020
Merton,Community centres,Wimbledon Park Hall,170 Arthur Road,Merton,NA,E09000024,Merton,51.43488274808482,-0.19699579540655943,525423.6859936424,172195.25609914906,48105969,E05000474,Wimbledon Park,http://www.wimbledonpark.com/wimbledon-park-hall/,E09000024,12/27/2020
Merton,Community centres,Central Ward Residents Club,Ashridge Way,Merton,NA,E09000024,Merton,51.39894830967774,-0.2071888031491544,524812.9661889548,168181.9272372173,48003530,E05000456,Cannon Hill,central-ward.co.uk,E09000024,12/27/2020
Merton,Creative workspaces,Main Yard Studios,Main Yard Studios,17 Lyon Road,,E09000024,Wimbledon,51.41277537550272,-0.18638843099252192,526221.7758000417,169755.10679897416,48124136,,,https://mainyardstudios.co.uk/wimbledon/,E09000024,12/27/2020
