BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Newham,Archives,"Friars Minor, English Province Archives",The Friary ,58 St Antony's Road ,Forest Gate,E09000025,Newham,51.539512615586844,0.02490609943161514,540524.9617950796,184232.92275072506,46068665,E05000486,Green Street West,http://www.friar.org/our-heritage,E09000025,12/27/2020
Newham,Archives,Franciscan Archives English Province,Franciscan Friary ,56 St Antony's Road ,Forest Gate,E09000025,Newham,51.539512615586844,0.02490609943161514,540524.9617950796,184232.92275072506,46068665,E05000486,Green Street West,http://www.friar.org/our-heritage,E09000025,12/27/2020
Newham,Archives,Newham Archive and Local Studies Library,Stratford Library ,3 The Grove,,E09000025,Newham,51.54277052430083,0.004355963044646293,539089.9621828718,184555.92266326654,46101428,E05000492,Stratford and New Town,https://www.newham.gov.uk/Pages/Services/Local-history-and-archives.aspx,E09000025,12/27/2020
Newham,Archives,Mind for Better Mental Health,15-19 Broadway ,Stratford,,E09000025,Newham,51.54023648405224,0.0010865137530722251,538870.9622434931,184267.92274151056,10008984107,E05000492,Stratford and New Town,https://www.mind.org.uk/,E09000025,12/27/2020
Newham,Archives,Movement for Christian Democracy,Mayflower Family Centre ,Vincent Street,,E09000025,Newham,51.5152456856087,0.013149882946581122,539783.9619967402,181511.9234922183,10008988833,E05000478,Canning Town South,https://www.britannica.com/topic/Christian-democracy,E09000025,12/27/2020
Newham,Archives,University of East London: Library and Learning Centre,Library and Learning Service: Archives University of East London Docklands Campus ,4-6 University Way,,E09000025,Newham,51.507485969948796,0.06478640895300126,543390.9610117405,180748.92369565833,10008997988,E05000475,Beckton,https://www.uel.ac.uk/discover/library,E09000025,12/27/2020
Newham,Archives,"Theatre Royal, Stratford East",Gerry Raffles Square,,,E09000025,Newham,51.54255806288698,0.0010008812952531942,538857.9622459848,184525.92267202953,10009003230,E05000492,Stratford and New Town,http://www.stratfordeast.com/,E09000025,12/27/2020
Newham,Artists workspaces,R>A>W Studios,"Norton Quays,",Royal Albert Wharf,,E09000025,Newham,51.506360870510306,0.07492492514758721,544098.050820396,180643.71372562635,10012839984,E05000475,Beckton,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,E09000025,12/27/2020
Newham,Artists workspaces,Flying Angel,287 Victoria Dock Rd,,,E09000025,Newham,51.51019552210415,0.02804459169527561,540832.9617094357,180978.92363526294,10023998099,E05000479,Custom House,www.acava.org,E09000025,12/27/2020
Newham,Artists workspaces,REAR OF 120,120 High Street South,,,E09000025,Newham,51.52640867372081,0.05598330190278333,542720.9611996629,182835.92313292646,10008987682,E05000482,East Ham South,https://www.throughthereddoor.org/get-in-touch/,E09000025,12/27/2020
