BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Redbridge,Archives,Chartered Insurance Institute,42-48 High Road,South Woodford,,E09000026,Redbridge,51.593933325476364,0.02265403617830677,540201.461882228,190280.3211062107,100023000000,E05011252,South Woodford,https://www.cii.co.uk/,E09000026,12/27/2020
Redbridge,Artists workspaces,,Valentines Mansion,Emerson Road,,E09000026,Redbridge,51.57210607681065,0.06637715630924214,543298.4010406748,187937.8017437071,10034921528,E05011253,Valentines,http://www.valentinesmansion.com,E09000026,12/27/2020
Redbridge,Arts centres,Redbridge Drama Centre ,Churchfields,South Woodford ,,E09000026,Redbridge,51.598452895907776,0.022659872980982022,540187.9618855646,190782.9209709277,100022987836,E05011238,Churchfields,https://redbridgedramacentre.co.uk/RedbridgeDramaCentre.dll/Home,E09000026,12/27/2020
Redbridge,Cinemas,Cineworld Illford,,Clements Rd,,E09000026,Redbridge,51.55791129643244,0.07467943870572194,543918.4809515828,186375.6222409201,010034911858,E05011246,Ilford Town,,E09000026,12/27/2020
Redbridge,Cinemas,Odeon South Woodford,,60-64 High Road,,E09000026,Redbridge,51.594558889262295,0.023194376665902332,540236.9619946638,190350.92120930203,010034922603,E05011252,South Woodford,,E09000026,12/27/2020
Redbridge,Cinemas,Odeon South Woodford,,60-64 High Road,,E09000026,Redbridge,51.594558889262295,0.023194376665902332,540236.9619946638,190350.92120930203,010034922603,E05011252,South Woodford,,E09000026,12/27/2020
Redbridge,Community centres,Tiptree Community Hall | Clayhall,Tiptree Crescent,Redbridge,NA,E09000026,Redbridge,51.59061717118589,0.06893261519235545,543417.2210778247,190001.2512612383,10023771023,E05000504,Fullwell,,E09000026,12/27/2020
Redbridge,Community centres,Etteridge Hall,Ray Lodge Road,Redbridge,NA,E09000026,Redbridge,51.60784851691711,0.04260900061007182,541540.3316358535,191866.140769271,10090505113,E05000497,Bridge,,E09000026,12/27/2020
Redbridge,Community centres,The Parkside Community Centre,176 Goodmayes Lane,Redbridge,NA,E09000026,Redbridge,51.55257856688663,0.10711632178613148,546183.9603769376,185846.9224350595,100023050425,E05000508,Mayfield,,E09000026,12/27/2020
Redbridge,Community centres,Hainault Forest Community Association,100 Manford Way,Redbridge,NA,E09000026,Redbridge,51.607759085192384,0.10443810596917943,545821.6604273766,191977.62072092475,100023581966,E05000506,Hainault,http://www.hfca-uk.com/,E09000026,12/27/2020
Redbridge,Community centres,The Cranbrook Centre,Cranbrook Road,Redbridge,NA,E09000026,Redbridge,51.56695888153799,0.07121656950341947,543649.9610675927,187374.92201924068,10093036807,E05000502,Cranbrook,,E09000026,12/27/2020
Redbridge,Community centres,Loxford Community Corner,40 Loxford Lane,Redbridge,NA,E09000026,Redbridge,51.546969224888166,0.08159370866244157,544432.3708290056,185172.47260407108,100023043938,E05000507,Loxford,https://find.redbridge.gov.uk/kb5/redbridge/fsd/service.page?id=6FPrv9bGDvA&familychannel=1_5_2,E09000026,12/27/2020
Redbridge,Community centres,Wanstead House Community Association,21 The Green, London ,NA,E09000026,Redbridge,51.574226478932324,0.029170366641411517,540713.5918689657,188101.36182637332,100022259565,E05000515,Wanstead,,E09000026,12/27/2020
Redbridge,Dance performance venues,Kenneth More Theatre,Kenneth More Road,,,E09000026,Redbridge,51.55867744085837,0.07524058428155188,543954.9608607133,186461.9221443929,100023043000,E05011246,Ilford Town,www.kmtheatre.co.uk/hire-us/,E09000026,12/27/2020
Redbridge,Dance rehearsal studios,Isaac Newton Academy,1 Crickleford Place,,,E09000026,Redbridge,51.56180574371861,0.09160272554695643,545079.1605559792,186842.11204209185,10090503930,E05011246,Ilford Town,http://www.isaacnewtonacademy.org,E09000026,12/27/2020
Redbridge,Dance rehearsal studios,Kenneth More Theatre,Kenneth More Road,,,E09000026,Redbridge,51.55867744085837,0.07524058428155188,543954.9608607133,186461.9221443929,100023043000,E05011246,Ilford Town,www.kmtheatre.co.uk/hire-us/,E09000026,12/27/2020
Redbridge,Fashion and design,Pronto (London) UK Ltd,2 Washington Road,,,E09000026,Redbridge,51.59483931022773,0.016305372878083216,539758.9620020955,190368.92108244763,1.00022E+11,E05000499,Church End,http://www.pronto-digital.com/,E09000026,12/27/2020
Redbridge,Jewellery design,Antony M Specterman Limited,The Retreat,406a Roding Lane South,,E09000026,Redbridge,51.59097640175805,0.045701390312169035,541806.9615684786,189995.92130592995,10034923239,E05011239,Clayhall,,E09000026,12/27/2020
Redbridge,Jewellery design,Carlo Jewellers Ltd,Hunter House,109 Snakes Lane,,E09000026,Redbridge,51.607135107126815,0.03230319786087781,540828.9618331306,191766.92082415964,100023583604,E05011249,Monkhams,http://www.carlojewellers.com,E09000026,12/27/2020
Redbridge,Jewellery design,Carriage Jewellery Ltd,54 New Road,Seven Kings,,E09000026,Redbridge,51.561393174833576,0.09547640259263437,545348.9606058277,186803.9221744283,100023049478,E05011244,Goodmayes,,E09000026,12/27/2020
Redbridge,Jewellery design,Eman Ventures Ltd,"161, Ley Street, Ilford, Essex",161 Ley Street,,E09000026,Redbridge,51.56194626563873,0.07701970362007404,544067.9609521125,186828.92216724897,100023046417,E05011246,Ilford Town,,E09000026,12/27/2020
Redbridge,Jewellery design,KHU KHU Limited,Treviot House,186-192 High Road,,E09000026,Redbridge,51.55937300833629,0.07608015528297027,544010.9609673112,186540.92224522517,10023769904,E05011246,Ilford Town,,E09000026,12/27/2020
Redbridge,Jewellery design,Lol Jewellery Limited,117 Fencepiece Road,Ilford,,E09000026,Redbridge,51.60225507628274,0.08394194599012576,544419.9608587046,191324.92094409233,100023051842,E05011242,Fairlop,,E09000026,12/27/2020
Redbridge,Jewellery design,Muller & Carter Limited,Suite 4,Cranbook House,,E09000026,Redbridge,51.56034532675566,0.06940127598129377,543544.9610966875,186635.92221851408,10093036970,E05011253,Valentines,,E09000026,12/27/2020
Redbridge,Jewellery design,Multiple businesses ,Priestley House,Priestley Gardens,,E09000026,Redbridge,51.57304190510194,0.11683651929053036,546791.9602140735,188141.92181193375,10034923180,E05011251,Seven Kings,http://www.lancejames.co.uk,E09000026,12/27/2020
Redbridge,Jewellery design,Watches International Limited,Unit 17,Bourne Court,,E09000026,Redbridge,51.59085279577118,0.044021135436418043,541690.9616000048,189978.92131049396,100023583039,E05011239,Clayhall,,E09000026,12/27/2020
Redbridge,Libraries,Uphall School Library,Uphall Road,Ilford,,E09000026,Redbridge,51.54797663299112,0.07215754212497608,543774.9610327648,185265.9225917015,100023043973,E05011247,Loxford,,E09000026,12/27/2020
Redbridge,Libraries,Redbridge Central Library,Clements Road,Ilford,,E09000026,Redbridge,51.55806438964066,0.07532810131822455,543962.960980725,186393.92228495312,100023043071,E05011246,Ilford Town,,E09000026,12/27/2020
Redbridge,Libraries,Goodmayes Library,Goodmayes Lane,Ilford,,E09000026,Redbridge,51.55940253279035,0.10899118951349164,546292.0603260266,186609.50218294282,100023050383,E05011248,Mayfield,,E09000026,12/27/2020
Redbridge,Libraries,Aldersbrook Library,Park Road,,,E09000026,Redbridge,51.563364969947735,0.03300627008439247,541012.9617837111,186900.92214932176,100023583395,E05011254,Wanstead Park,,E09000026,12/27/2020
Redbridge,Libraries,Seven Kings Library,High Road,Ilford,,E09000026,Redbridge,51.56475899337209,0.09985873189720021,545641.9605251472,187186.92207185022,10034922466,E05011251,Seven Kings,,E09000026,12/27/2020
Redbridge,Libraries,Wanstead Library,Spratt Hall Road,,,E09000026,Redbridge,51.57589019959666,0.02529544072039497,540439.961938011,188278.92177566362,100022960264,E05011255,Wanstead Village,,E09000026,12/27/2020
Redbridge,Libraries,Keith Axon Library,Grove Road,Romford,,E09000026,Redbridge,51.57438378211518,0.12131806972919716,547098.1700917674,188300.13172967586,10090503264,E05011237,Chadwell,,E09000026,12/27/2020
