BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Richmond upon Thames,Archives,Orleans House Gallery,Riverside,,,E09000027,Richmond upon Thames,51.447331685363174,-0.3190722161075801,516906.968214914,173377.9257034324,100022000000,E05000531,Twickenham Riverside,https://www.orleanshousegallery.org/,E09000027,12/27/2020
Richmond upon Thames,Archives,St Paul's School Archives,Lonsdale Road,,,E09000027,Richmond upon Thames,51.48769585182716,-0.23741773945341763,522472.86670177244,177999.80444514175,100023000000,E05000516,Barnes,https://www.stpaulsschool.org.uk/st-pauls/academic/library,E09000027,12/27/2020
Richmond upon Thames,Archives,World Rugby Museum,Twickenham Stadium ,Rugby Road,Twickenham,E09000027,Richmond upon Thames,51.455648837508754,-0.3417394080012988,515310.96864928456,174266.92545823962,100023000000,E05000527,St. Margarets and North Twickenham,http://www.worldrugbymuseum.com/,E09000027,12/27/2020
Richmond upon Thames,Archives,"Surrey University: St Mary's College, Strawberry Hill",Learning Resources Centre St Mary's College ,Strawberry Hill ,Waldegrave Road,E09000027,Richmond upon Thames,51.43615141956274,-0.3358851130704332,515766.968521769,172107.92604481487,100023000000,E05000529,South Twickenham,https://www.stmarys.ac.uk/home.aspx,E09000027,12/27/2020
Richmond upon Thames,Arts centres,OSO Arts Centre,49 Station Rd,,,E09000027,Richmond upon Thames,51.472300953024735,-0.24662565900925684,521874.5868618636,176272.52491440473,200002811148,E05000525,Mortlake and Barnes Common,http://www.osoarts.org.uk/,E09000027,12/27/2020
Richmond upon Thames,Arts centres,The Landmark Arts Centre ,Landmark Arts Centre ,Ferry Road ,Teddington,E09000027,Richmond upon Thames,51.428086704633984,-0.32462690336409294,516569.968307714,171228.92628604273,10024344794,E05000530,Teddington,http://www.landmarkartscentre.org/,E09000027,12/27/2020
Richmond upon Thames,Cinemas,Curzon Richmond,,Water Lane,Richmond,E09000027,Richmond upon Thames,51.459286363371355,-0.30682912599654005,517726.9681142294,174726.92545578856,100023409354,E05000528,South Richmond,,E09000027,12/27/2020
Richmond upon Thames,Cinemas,Odeon Richmond,,72 Hill Street,,E09000027,Richmond upon Thames,51.45941187901456,-0.30555771928582826,517814.9680906436,174742.92545149295,010002264393,E05000528,South Richmond,,E09000027,12/27/2020
Richmond upon Thames,Cinemas,Olympic Cinema,,117-123 Church Road,Barnes,E09000027,Richmond upon Thames,51.47521924840952,-0.2407563931913734,522274.40687756217,176606.81490059476,010070710572,E05000516,Barnes,,E09000027,12/27/2020
Richmond upon Thames,Community centres,Bullen Hall,Bennet Close,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.413844347409054,-0.313456324406439,517382.9682106491,169662.92683413945,10070711005,E05000522,Hampton Wick,https://www.richmond.gov.uk/services/hall_and_venue_bookings/bullen_hall_venue_hire,E09000027,12/27/2020
Richmond upon Thames,Community centres,Sheen Lane Centre,Sheen Lane,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.46587485792518,-0.2672094482917092,520461.96737197856,175523.92524062342,100023310512,E05000517,East Sheen,https://www.richmond.gov.uk/services/hall_and_venue_bookings/sheen_lane_centre_venue_hire,E09000027,12/27/2020
Richmond upon Thames,Community centres,Murray Park Hall,111 Kneller Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.455159956641296,-0.3529842075120519,514530.9689825829,174194.92559980997,100023401887,E05000533,Whitton,https://www.richmond.gov.uk/services/hall_and_venue_bookings/murray_park_hall_venue_hire,E09000027,12/27/2020
Richmond upon Thames,Community centres,Crane Community Centre,49-51 Medway, Twickenham,NA,E09000027,Richmond upon Thames,51.44527035285568,-0.3505627526428268,514723.9689289101,173098.92589988315,100023574496,E05000532,West Twickenham,https://www.facebook.com/pages/Crane-Community-Centre/249951148350529,E09000027,12/27/2020
Richmond upon Thames,Community centres,Cambrian Centre,1 Cambrian Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.45379697993631,-0.29353122701580214,518664.96785916504,174137.92561596446,10070727172,E05000528,South Richmond,https://cambriancentre.org/,E09000027,12/27/2020
Richmond upon Thames,Community centres,Whitton Community Centre,Percy Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.4439813454894,-0.36445224784961994,513761.96919134725,172933.92594354664,100023401561,E05000523,Heathfield,https://www.whittoncommunity.org/,E09000027,12/27/2020
Richmond upon Thames,Community centres,East Twickenham Neighbourhood Association Community Centre,13 Rosslyn Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.455206659918005,-0.3132700843120862,517289.96823207336,174262.92558296508,100023391806,E05000531,Twickenham Riverside,https://etnacentre.org/,E09000027,12/27/2020
Richmond upon Thames,Community centres,DERA Social Centre,Chertsey Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.44888851795693,-0.352073005307939,514609.9689607825,173498.92578940128,10070711141,E05000533,Whitton,http://www.deneestate.org/,E09000027,12/27/2020
Richmond upon Thames,Community centres,The Exchange,75 London Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.45004698875577,-0.3312574137054184,516053.3885517495,173660.51571112318,10091161250,E05000527,St. Margarets and North Twickenham,https://exchangetwickenham.co.uk/venue-hire/,E09000027,12/27/2020
Richmond upon Thames,Community centres,The White House Community Association,45 The Avenue,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.42557246675606,-0.3772640036109902,512916.96942315315,170866.9265060884,100023398296,E05000521,Hampton North,www.whitehousehampton.co.uk,E09000027,12/27/2020
Richmond upon Thames,Community centres,The Barnes Green Centre,49 Station Road,Richmond Upon Thames,NA,E09000027,Richmond upon Thames,51.47230095387756,-0.24662565728907546,521874.58697905764,176272.5250120986,200002811148,E05000525,Mortlake and Barnes Common,https://www.barnesgreencentre.org.uk/#,E09000027,12/27/2020
