BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Southwark,Archives,Medical Defence Union,230 Blackfriars Road,,,E09000028,Southwark,51.50584065279232,-0.10400095875260895,531682.9641955532,180248.92383438506,10000809744,E05011095,Borough & Bankside,https://www.themdu.com/,E09000028,12/27/2020
Southwark,Archives,University of the Arts London: University Archives and Special Collections,London College of Communication ,Elephant and Castle,,E09000028,Southwark,51.49491510290432,-0.10181813949227936,531865.9641471895,179037.92416186264,10000810907,E05011114,St. George's,https://www.arts.ac.uk/students/library-services/special-collections-and-archives/archives-and-special-collections-centre,E09000028,12/27/2020
Southwark,Archives,University of the Arts London: London College of Communication,Elephant and Castle,,,E09000028,Southwark,51.49491510290432,-0.10181813949227936,531865.9641471895,179037.92416186264,10000810907,E05011114,St. George's,https://www.arts.ac.uk/colleges/london-college-of-communication,E09000028,12/27/2020
Southwark,Archives,Mental Health Foundation,Colechurch House ,1 London Bridge Walk,NA,E09000028,Southwark,51.508440930815794,-0.106724539987432,531486.4742486033,180533.18375637813,10000813676,E05011095,Borough & Bankside,https://www.mentalhealth.org.uk/,E09000028,12/27/2020
Southwark,Archives,Confederation of Indian Organisations (UK),5 Westminster Bridge Road,,,E09000028,Southwark,51.49843095040856,-0.10569174420911834,531586.9642228732,179421.9240590146,10000813756,E05011114,St. George's,http://www.ciostrokeproject.co.uk/,E09000028,12/27/2020
Southwark,Archives,United Medical and Dental Schools: The Wills Library,Guy's Hospital London Bridge,,,E09000028,Southwark,51.50345368730176,-0.08824991956746134,532782.9639000618,180011.92389690143,10000816533,E05011104,London Bridge & West Bermondsey,http://www.kingscollections.org/catalogues/kclca/collection/u/10un50-1/,E09000028,12/27/2020
Southwark,Archives,Imperial War Museum Film Archive,All Saints Building Austral Street,,,E09000028,Southwark,51.494522265957514,-0.10644452165379571,531545.9642343372,178985.92417592544,10000816541,E05011114,St. George's,https://www.iwm.org.uk/collections/film,E09000028,12/27/2020
Southwark,Archives,Imperial War Museum Photograph Archive,All Saints Austral Street,,,E09000028,Southwark,51.494522265957514,-0.10644452165379571,531545.9642343372,178985.92417592544,10000816541,E05011114,St. George's,https://www.iwm.org.uk/collections/photographs,E09000028,12/27/2020
Southwark,Archives,Salvation Army International Heritage Centre,William Booth College ,Champion Park ,Denmark Hill,E09000028,Southwark,51.46754133427948,-0.08927536304139302,532816.0238883133,176016.60498392157,10013524443,E05011097,Champion Hill,https://www.salvationarmy.org.uk/international-heritage-centre,E09000028,12/27/2020
Southwark,Archives,News UK Archive,1 London Bridge Street,,,E09000028,Southwark,51.505426317500564,-0.08771916921158429,532814.0638910705,180232.243837305,10090747871,E05011104,London Bridge & West Bermondsey,https://www.britishnewspaperarchive.co.uk/,E09000028,12/27/2020
Southwark,Archives,Society of Chiropodists and Podiatrists,1 Fellmonger's Path ,176 Tower Bridge Road,,E09000028,Southwark,51.500436600261835,-0.07807426599114471,533497.963706491,179694.9239835153,10093339987,E05011104,London Bridge & West Bermondsey,https://cop.org.uk/,E09000028,12/27/2020
Southwark,Archives,United Society for the Propagation of the Gospel,Harling House ,47-51 Great Suffolk Street,,E09000028,Southwark,51.50330287219761,-0.1011092316782516,531890.9641395409,179971.92390984035,200003000000,E05011095,Borough & Bankside,http://www.uspg.org.uk/news/newname/,E09000028,12/27/2020
Southwark,Archives,London South Bank University Archives Centre,103 Borough Road ,,,E09000028,Southwark,51.49870594548669,-0.10174255625170776,531860.2741484678,179459.60404858692,200003000000,E05011114,St. George's,http://www.lsbu.ac.uk/about-us/professional-services/archives-centre,E09000028,12/27/2020
Southwark,Archives,Electoral Reform Society of Great Britain and Ireland,Thomas Hare House ,6 Chancel Street,,E09000028,Southwark,51.50515770523742,-0.10291976820536355,531759.9641747136,180174.9238546327,200003000000,E05011095,Borough & Bankside,https://www.electoral-reform.org.uk/,E09000028,12/27/2020
Southwark,Archives,Royal Commonwealth Ex-Services League,Haig House,199 Borough High Street,,E09000028,Southwark,51.50196215312613,-0.09164079709276562,532551.9639625009,179839.92394399998,200003000000,E05011098,Chaucer,http://www.commonwealthveterans.org.uk/,E09000028,12/27/2020
Southwark,Archives,Southwark Local History Library and Archive,John Harvard Library ,211 Borough High Street,,E09000028,Southwark,51.501768663389015,-0.09190824070810069,532533.9639673845,179817.92395000462,200003000000,E05011098,Chaucer,https://www.southwark.gov.uk/libraries/local-history-library-and-archive/visiting-the-local-history-library-and-archive,E09000028,12/27/2020
Southwark,Archives,Russo-British Chamber of Commerce,42 Southwark Street,,,E09000028,Southwark,51.50498866452759,-0.09360370330039489,532406.9640005811,180172.92385415867,200003000000,E05011095,Borough & Bankside,http://www.rbcc.com/,E09000028,12/27/2020
Southwark,Archives,National Osteopathic Archive,c/o British School of Osteopathy ,275 Borough High Street,,E09000028,Southwark,51.5000811450062,-0.094312878523686,532371.9640110707,179625.92400250206,200003000000,E05011098,Chaucer,https://www.uco.ac.uk/,E09000028,12/27/2020
Southwark,Archives,British School of Osteopathy,275 Borough High Street,,,E09000028,Southwark,51.5000811450062,-0.094312878523686,532371.9640110707,179625.92400250206,200003000000,E05011098,Chaucer,https://www.uco.ac.uk/,E09000028,12/27/2020
Southwark,Archives,Imperial War Museum Department of Documents,Lambeth Road,,,E09000028,Southwark,51.49600948320821,-0.10832779228920918,531410.9642709692,179147.92413258873,200003000000,E05011114,St. George's,https://www.iwm.org.uk/collections/documents,E09000028,12/27/2020
Southwark,Archives,Imperial War Museum Sound Archive,Lambeth Road,,,E09000028,Southwark,51.49600948320821,-0.10832779228920918,531410.9642709692,179147.92413258873,200003000000,E05011114,St. George's,https://www.iwm.org.uk/collections/sound,E09000028,12/27/2020
Southwark,Archives,DayCare Trust,21 St George Road,,,E09000028,Southwark,51.4952975359691,-0.10266664595312627,531805.9641634967,179078.92415087466,200003000000,E05011114,St. George's,,E09000028,12/27/2020
Southwark,Archives,Bankside Gallery,48 Hopton Street, Blackfriars,,E09000028,Southwark,51.50819211966978,-0.10093468931649661,531888.964139103,180515.92376192554,200003000000,E05011095,Borough & Bankside,https://www.banksidegallery.com/,E09000028,12/27/2020
Southwark,Archives,Shakespeare's Globe Library and Archives,21 New Globe Walk ,Bankside,,E09000028,Southwark,51.50811239465346,-0.09657156024934022,532191.9640575871,180514.92376179446,200003000000,E05011095,Borough & Bankside,https://www.shakespearesglobe.com/education/library-research/library-archive,E09000028,12/27/2020
Southwark,Archives,Chartered Institute of Journalists,2 Dock Offices ,Surrey Quays Road,,E09000028,Southwark,51.49677062517324,-0.05102771886724906,535385.9631907567,179336.92408416496,200003000000,E05011112,Rotherhithe,https://cioj.org/,E09000028,12/27/2020
Southwark,Archives,Action for Blind People,14-16 Verney Road,,,E09000028,Southwark,51.48468217472787,-0.0628357516947148,534601.9634037775,177970.92445195373,200003000000,E05011109,Old Kent Road,https://www.rnib.org.uk/who-we-are/action-for-blind-people,E09000028,12/27/2020
Southwark,Archives,Dulwich College Archive,Dulwich College ,Dulwich Common,,E09000028,Southwark,51.44028028702964,-0.08501812132884018,533190.9637869757,172992.92580498598,200003000000,E05011101,Dulwich Wood,https://www.dulwich.org.uk/about/history/the-archives,E09000028,12/27/2020
Southwark,Archives,Dulwich Picture Gallery,Gallery Road,,,E09000028,Southwark,51.44597770462068,-0.08642036459140846,533076.9638195871,173623.92563306878,200003000000,E05011100,Dulwich Village,https://www.dulwichpicturegallery.org.uk/,E09000028,12/27/2020
Southwark,Archives,Alleyn's School Archive,Townley Road ,Dulwich,,E09000028,Southwark,51.45478128570839,-0.081993244319189,533358.9637428632,174610.92536495137,200003000000,E05011103,Goose Green,https://www.alleyns.org.uk/senior-school/aboutalleyns/school-archive,E09000028,12/27/2020
Southwark,Archives,South London Gallery,65-67 Peckham Road,,,E09000028,Southwark,51.47428602972737,-0.07974972510366078,533457.9637136,176783.92477482202,200003000000,E05011115,St. Giles,https://www.southlondongallery.org/,E09000028,12/27/2020
Southwark,Archives,James Allen's Girls' School,East Dulwich Grove,,,E09000028,Southwark,51.45542039320969,-0.085528085168551,533111.5238097637,174675.56534714816,200003000000,E05011100,Dulwich Village,https://www.jags.org.uk/,E09000028,12/27/2020
Southwark,Archives,Royal British Legion,199 Borough High Street,,,E09000028,Southwark,51.50216782385471,-0.09212210136208826,532517.9639715636,179861.92393813335,200003000000,E05011098,Chaucer,https://www.britishlegion.org.uk/,E09000028,12/27/2020
Southwark,Archives,The Children's Society Records and Archive Centre,Block A Floor 2 Tower Bridge Business Complex ,100 Clement's Road,,E09000028,Southwark,51.4941963404656,-0.06282118214146996,534574.9634123236,179028.9241669231,200003000000,E05011106,North Bermondsey,http://www.hiddenlives.org.uk/,E09000028,12/27/2020
Southwark,Archives,University of the Arts London: Camberwell College of Arts,Peckham Road,,,E09000028,Southwark,51.47411740516427,-0.07988640393804575,533448.9637160323,176764.9247799751,200003000000,E05011115,St. Giles,https://www.arts.ac.uk/colleges/camberwell-college-of-arts,E09000028,12/27/2020
