BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Sutton,Archives,London Borough of Sutton: Archives & Local Studies,Level 2A Central Library ,St Nicholas Way,,E09000029,Sutton,51.36207338892009,-0.19515461550298518,525750.9658101378,164101.92822253157,5870113864,E05000564,Sutton Central,https://arena.yourlondonlibrary.net/web/sutton/sutton-archives,E09000029,12/27/2020
Sutton,Artists workspaces,Oaks Park,Croydon Lane,Carshalton,,E09000029,Sutton,51.33383365012189,-0.17412733302105873,527292.9653906933,160997.92906829045,768018029,E05000559,Carshalton South and Clockhouse,www.acme.org.uk,E09000029,12/27/2020
Sutton,Community centres,Wandle Valley Community Centre,2 Budge Lane,Sutton,NA,E09000029,Sutton,51.385706961837315,-0.16451817394444987,527817.9653705836,166782.9276153033,5870115697,E05000571,Wandle Valley,https://www.lqgroup.org.uk/services-for-residents/have-your-say/resident-involvement/landq-community-centres/community-cen,E09000029,12/27/2020
Sutton,Community centres,Elmcroft Community Centre,London Road,Sutton,NA,E09000029,Sutton,51.37306268655786,-0.2251971758833262,523629.9665089442,165272.92802616145,5870012360,E05000561,Nonsuch,http://www.elmcroftcc.org.uk/,E09000029,12/27/2020
Sutton,Community centres,Shanklin Community & Children's Centre,Rookley Close,Sutton,NA,E09000029,Sutton,51.347609320995126,-0.19608193149502587,525725.9659404473,162491.9287818208,5870029716,E05000557,Belmont,,E09000029,12/27/2020
Sutton,Community centres,Thomas Wall Centre,52 Benhill Avenue,Sutton,NA,E09000029,Sutton,51.36670882958919,-0.19076316274996302,526043.9658538391,164624.92820076586,5870047224,E05000564,Sutton Central,http://thethomaswallcentre.co.uk/index4.html/index-4.html,E09000029,12/27/2020
Sutton,Community centres,Hillcrest Halls,Fryston Avenue,Sutton,NA,E09000029,Sutton,51.325939647406535,-0.15415955158304243,528705.965128325,160154.92941795566,5870074245,E05000559,Carshalton South and Clockhouse,http://www.spanglefish.com/clockhousecommunityassociation/,E09000029,12/27/2020
Sutton,Community centres,RIverside Community Centre,113 Culvers Avenue,Sutton,NA,E09000029,Sutton,51.3791532051687,-0.16463671677671232,527827.9653693683,166053.92781278526,5870121708,E05000568,The Wrythe,http://riversidecentre.org/,E09000029,12/27/2020
Sutton,Community centres,Granfers Community Centre,73-79 Oakhill Road,Sutton,NA,E09000029,Sutton,51.37060241126667,-0.19132807685832987,525993.9658682548,165056.92808398872,5870040510,E05000565,Sutton North,https://www.suttoncvs.org.uk/,E09000029,12/27/2020
Sutton,Community centres,Rosehill Community Centre,Rosehill Community Centre, Rosehill Recreation Ground, Rose Hill,E09000029,Sutton,51.378310925667435,-0.1943580888376363,525761.9659318917,165908.92785385507,5870117675,E05000565,Sutton North,,E09000029,12/27/2020
