BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Tower Hamlets,Archives,Reuters Archive,Thomson Reuters ,30 South Colonnade ,Canary Wharf,E09000030,Tower Hamlets,51.50435142387477,-0.02042941634000876,537486.9626200524,180236.92383549205,6155377,E05009323,Canary Wharf,https://reuters.screenocean.com/,E09000030,12/27/2020
Tower Hamlets,Archives,Whitechapel Art Gallery,Whitechapel High Street,,,E09000030,Tower Hamlets,51.51614773634685,-0.07046539427452132,533979.9635720918,181455.92350780725,6000113,E05009333,Spitalfields & Banglatown,https://www.whitechapelgallery.org/,E09000030,12/27/2020
Tower Hamlets,Archives,Society for the Protection of Ancient Buildings,37 Spital Square,,,E09000030,Tower Hamlets,51.52020003485407,-0.07846714827917907,533412.9637272966,181891.92338917352,6001685,E05009333,Spitalfields & Banglatown,https://www.spab.org.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,Lasa,Watson House,54 Baker Street,,E09000030,Tower Hamlets,51.51709110088313,-0.07095881088810949,533942.9635822515,181559.9234800606,6002410,E05009333,Spitalfields & Banglatown,http://www.lasa.org.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,Wilton's Music Hall,Graces Alley,,,E09000030,Tower Hamlets,51.51061305202626,-0.06693794829680935,534240.9635009416,180846.92367017682,6006845,E05009336,Whitechapel,https://www.wiltons.org.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,Wapping Police Station Museum,98 Wapping High Street,,,E09000030,Tower Hamlets,51.50309221162473,-0.05859646461708383,534841.9633387489,180025.92389531765,6009795,E05009330,St. Katharine's & Wapping,http://www.thamespolicemuseum.org.uk/museum.html,E09000030,12/27/2020
Tower Hamlets,Archives,East London Mosque & London Muslim Centre Archive,4th Floor ,46-92 Whitechapel Road,,E09000030,Tower Hamlets,51.517469606759,-0.06555204716384976,534316.963480389,181611.9234653745,6012773,E05009336,Whitechapel,https://www.eastlondonmosque.org.uk/content/east-london-mosque-london-muslim-centre-archive-collections,E09000030,12/27/2020
Tower Hamlets,Archives,Tower Hamlets Local History Library and Archives,277 Bancroft Road,,,E09000030,Tower Hamlets,51.52381997417608,-0.04234719927184271,535907.9630515493,182360.9232606833,6033654,E05009317,Bethnal Green,https://www.towerhamlets.gov.uk/lgnl/leisure_and_culture/local_history/local_history__archives/local_history__archives.aspx,E09000030,12/27/2020
Tower Hamlets,Archives,V & A Museum of Childhood,Cambridge Heath Road,,,E09000030,Tower Hamlets,51.5290553112319,-0.0548819552241559,535022.963292863,182919.92310793896,6039165,E05009317,Bethnal Green,https://www.vam.ac.uk/moc/,E09000030,12/27/2020
Tower Hamlets,Archives,Unfinished Histories,St Margaret's House Settlement ,21 Old Ford Rd,,E09000030,Tower Hamlets,51.52999311599149,-0.054495932258682246,535046.9632863855,183024.92307937721,6040154,E05009331,St. Peter's,http://www.unfinishedhistories.com/,E09000030,12/27/2020
Tower Hamlets,Archives,Matt's Gallery,42-44 Copperfield Road,,,E09000030,Tower Hamlets,51.51907944206983,-0.03580471959488261,536375.9629242609,181845.92340129847,6048178,E05009327,Mile End,https://www.mattsgallery.org/,E09000030,12/27/2020
Tower Hamlets,Archives,Live Art Development Agency's Study Room,White Building, Unit 7 Queen's Yard ,White Post Lane,E09000030,Tower Hamlets,51.54298590870141,-0.022112690097632323,537253.9626839234,184529.92267065967,6077530,E05009319,Bow East,http://www.thisisliveart.co.uk/resources/study-room/,E09000030,12/27/2020
Tower Hamlets,Archives,Historic Royal Palaces Architectural Drawings Archive,Waterloo Block HM Tower of London,,,E09000030,Tower Hamlets,51.50827522899562,-0.07624551384551244,533601.9636754732,180569.92374525347,6086565,E05009330,St. Katharine's & Wapping,https://blog.hrp.org.uk/archive/,E09000030,12/27/2020
Tower Hamlets,Archives,"Royal Armouries Library, Tower of London",The Library,Royal Armouries,HM Tower of London,E09000030,Tower Hamlets,51.50827522899562,-0.07624551384551244,533601.9636754732,180569.92374525347,6086565,E05009330,St. Katharine's & Wapping,https://royalarmouries.org/,E09000030,12/27/2020
Tower Hamlets,Archives,Royal London Hospital Archives,Royal London Hospital Archives, 9 Prescot Street,,E09000030,Tower Hamlets,51.51160554779249,-0.07041242640004805,533996.9635673389,180950.92364261491,6086730,E05009336,Whitechapel,https://www.bartshealth.nhs.uk/the-royal-london-hospital-museum-and-archives,E09000030,12/27/2020
Tower Hamlets,Archives,Royal Fusiliers Museum,HM Tower of London,,,E09000030,Tower Hamlets,51.508392763597215,-0.07518856296198446,533674.9636554702,180584.92374109017,6086845,E05009330,St. Katharine's & Wapping,https://www.fusiliermuseumlondon.org/home,E09000030,12/27/2020
Tower Hamlets,Archives,Lesbian and Gay Christian Movement,Oxford House ,Derbyshire Street,,E09000030,Tower Hamlets,51.526368052162184,-0.06148404706213619,534572.9634147948,182608.9231928354,6089004,E05009331,St. Peter's,https://www.onebodyonefaith.org.uk/about-us/new-era-new-name/,E09000030,12/27/2020
Tower Hamlets,Archives,HSBC Group Archives,HSBC Holdings plc 8 Canada Square,,,E09000030,Tower Hamlets,51.505532188734534,-0.01739533577265108,537693.9625644558,180373.92379803606,6151241,E05009323,Canary Wharf,https://www.hsbc.com/about-hsbc/company-history/hsbc-archives,E09000030,12/27/2020
Tower Hamlets,Archives,Crisis,66 Commercial Street,,,E09000030,Tower Hamlets,51.51811044589613,-0.07388500500326711,533736.9636388681,181667.9234505947,6155270,E05009333,Spitalfields & Banglatown,https://www.crisis.org.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,"London University: Queen Mary, University of London",Archives Mile End Library Queen Mary University of London ,328 Mile End Road,,E09000030,Tower Hamlets,51.524188849827524,-0.03966442127220717,536092.9630013237,182406.92324846925,6164839,E05009317,Bethnal Green,https://www.qmul.ac.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,Royal College of Psychiatrists,21 Prescot Street,,,E09000030,Tower Hamlets,51.511416482973054,-0.07109835506890998,533949.9235802057,180928.64364861575,6193878,E05009336,Whitechapel,https://www.rcpsych.ac.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,Living Streets,4th Floor Universal House ,88-94 Wentworth Street,,E09000030,Tower Hamlets,51.5170823515439,-0.07097359445088947,533941.9635825254,181558.92348032835,6198476,E05009333,Spitalfields & Banglatown,https://www.livingstreets.org.uk/,E09000030,12/27/2020
Tower Hamlets,Archives,Museum of London Docklands - Port and River Archive,No 1 Warehouse ,West India Quay ,Hertsmere Road,E09000030,Tower Hamlets,51.50769778692042,-0.02315200152543262,537287.962676432,180603.923735801,6650052,E05009323,Canary Wharf,https://www.museumoflondon.org.uk/collections/access-and-enquiries/port-london-authority-archive,E09000030,12/27/2020
