BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Waltham Forest,Archives,Waltham Forest Archives,Vestry House Museum ,Vestry Road ,Walthamstow,E09000031,Waltham Forest,51.584013714671514,-0.012739357747511096,537779.9625400492,189109.9214240695,100023000000,E05000601,Hoe Street,https://walthamforest.gov.uk/content/waltham-forest-archives-and-local-studies-library,E09000031,12/27/2020
Waltham Forest,Archives,William Morris Gallery,Water House ,Lloyd Park ,Forest Road,E09000031,Waltham Forest,51.591300707825056,-0.020376610801969185,537228.962688486,189905.92120864865,200001000000,E05000608,William Morris,https://www.wmgallery.org.uk/,E09000031,12/27/2020
Waltham Forest,Artists workspaces,Lea Bridge Road,Enterprise Park Unit OH ,Lea Bridge Road,,E09000031,Waltham Forest,51.56829693565187,-0.034766339929481596,536300.9629418623,187320.92191177927,200000000000,E05000603,Lea Bridge,www.arbeit.org.uk / www.arebyte.com,E09000031,12/27/2020
Waltham Forest,Artists workspaces,,5 Argall Ave,,,E09000031,Waltham Forest,51.57047232938429,-0.03848244388592304,536036.96301445,187555.92184868274,10024421362,E05000603,Lea Bridge,https://mainyardstudios.co.uk,E09000031,12/27/2020
Waltham Forest,Artists workspaces,Mentmore Studios,11 Argall Avenue,,,E09000031,Waltham Forest,51.5705479944233,-0.039244045575250235,535983.9630289143,187562.9218467892,100000000000,E05000603,Lea Bridge,http://mentmorestudios.co.uk/made/,E09000031,12/27/2020
Waltham Forest,Artists workspaces,Unit 1,"Unit 1, 8 Argall Rd",,,E09000031,Waltham Forest,51.571241914205956,-0.037179376677985036,536124.9629907166,187643.92182502046,200000000000,E05000603,Lea Bridge,www.artcoreint.net,E09000031,12/27/2020
Waltham Forest,Artists workspaces,,Wood Street Studios,Barrett Road,,E09000031,Waltham Forest,51.58518777967393,-0.0035075163075874265,538415.9623672809,189257.92138353316,10093559731,E05000609,Wood Street,www.woodstreetwalls.co.uk,E09000031,12/27/2020
Waltham Forest,Artists workspaces,Mitre Studios,4a Mitre Avenue,,,E09000031,Waltham Forest,51.58806077623938,-0.021282421148903063,537175.9627037391,189543.92130711768,200000000000,E05000608,William Morris,http://stolen-image.com/mitre.html,E09000031,12/27/2020
Waltham Forest,Artists workspaces,,30a Borwick Rd,,,E09000031,Waltham Forest,51.58860520753323,-0.02852049719589191,536672.9628418065,189590.92129563016,200000000000,E05000608,William Morris,http://www.citystudios-e17.com/home,E09000031,12/27/2020
Waltham Forest,Artists workspaces,Blackhorse Lane Studios,114 blackhorse lane,,,E09000031,Waltham Forest,51.59139520232052,-0.03940136558597041,535910.9630503837,189880.92121660395,10091183452,E05000600,Higham Hill,http://www.artworksproject.com/docs/info.html,E09000031,12/27/2020
Waltham Forest,Artists workspaces,,1-2 Sutherland Rd Path,,,E09000031,Waltham Forest,51.59204954970654,-0.03873795533581777,535954.9630387364,189954.92119654868,10091186505,E05000600,Higham Hill,www.blackhorseworkshop.co.uk,E09000031,12/27/2020
Waltham Forest,Artists workspaces,Lloyd Park Artist Studios,Lloyd Park,Walthamstow,,E09000031,Waltham Forest,51.59340583220669,-0.022032232625402427,537107.9627222894,190136.92114617227,10009143619,E05000592,Chapel End,https://www.walthamforest.gov.uk/content/lloyd-park,E09000031,12/27/2020
Waltham Forest,Cinemas,Empire Walthamstow,,267 High St,Walthamstow,E09000031,Waltham Forest,51.585011431172894,-0.020158836959272595,537262.9628026754,189206.921520515,200001433603,E05000599,High Street,,E09000031,12/27/2020
Waltham Forest,Commercial galleries,The Stone Space,6 Church Lane,NA,NA,E09000031,Waltham Forest,51.568202559921986,0.010611115029052633,539445.9622099979,187395.92201427126,100023583897,E05000605,Leytonstone,http://www.thestonespace.com/#,E09000031,12/27/2020
Waltham Forest,Community centres,Seddon Centre,33 Clyde Place,Waltham Forest,NA,E09000031,Waltham Forest,51.570318444558666,-0.014880230775627563,537672.9626920088,187582.92196335876,100022955204,E05000604,Leyton,,E09000031,12/27/2020
Waltham Forest,Community centres,Forest Community Centre,56 Guildford Road, Waltham Forest,NA,E09000031,Waltham Forest,51.60047678433477,-0.0020435193875861356,538470.9624776029,190960.92104650318,100022980920,E05000597,Hale End and Highams Park,,E09000031,12/27/2020
