BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Tower Hamlets,Archives,,Thomson Reuters ,30 South Colonnade ,Canary Wharf,,E09000030,Tower Hamlets,,,537486.9626200524,,,E09000030,51.50435142387477,-0.02042941634000876,180236.92383549205,6155377,,04/20/2020,Reuters Archive,,E05009323,Canary Wharf,,,,https://reuters.screenocean.com/
Tower Hamlets,Archives,,Whitechapel High Street,,,,E09000030,Tower Hamlets,,,533979.9635720918,,,E09000030,51.51614773634685,-0.07046539427452132,181455.92350780725,6000113,,04/20/2020,Whitechapel Art Gallery,,E05009333,Spitalfields & Banglatown,,,,https://www.whitechapelgallery.org/
Tower Hamlets,Archives,,37 Spital Square,,,,E09000030,Tower Hamlets,,,533412.9637272966,,,E09000030,51.52020003485407,-0.07846714827917907,181891.92338917352,6001685,,04/20/2020,Society for the Protection of Ancient Buildings,,E05009333,Spitalfields & Banglatown,,,,https://www.spab.org.uk/
Tower Hamlets,Archives,,Watson House,54 Baker Street,,,E09000030,Tower Hamlets,,,533942.9635822515,,,E09000030,51.51709110088313,-0.07095881088810949,181559.9234800606,6002410,,04/20/2020,Lasa,,E05009333,Spitalfields & Banglatown,,,,http://www.lasa.org.uk/
Tower Hamlets,Archives,,Graces Alley,,,,E09000030,Tower Hamlets,,,534240.9635009416,,,E09000030,51.51061305202626,-0.06693794829680935,180846.92367017682,6006845,,04/20/2020,Wilton's Music Hall,,E05009336,Whitechapel,,,,https://www.wiltons.org.uk/
Tower Hamlets,Archives,,98 Wapping High Street,,,,E09000030,Tower Hamlets,,,534841.9633387489,,,E09000030,51.50309221162473,-0.05859646461708383,180025.92389531765,6009795,,04/20/2020,Wapping Police Station Museum,,E05009330,St. Katharine's & Wapping,,,,http://www.thamespolicemuseum.org.uk/museum.html
Tower Hamlets,Archives,,4th Floor ,46-92 Whitechapel Road,,,E09000030,Tower Hamlets,,,534316.963480389,,,E09000030,51.517469606759,-0.06555204716384976,181611.9234653745,6012773,,04/20/2020,East London Mosque & London Muslim Centre Archive,,E05009336,Whitechapel,,,,https://www.eastlondonmosque.org.uk/content/east-london-mosque-london-muslim-centre-archive-collections
Tower Hamlets,Archives,,277 Bancroft Road,,,,E09000030,Tower Hamlets,,,535907.9630515493,,,E09000030,51.52381997417608,-0.04234719927184271,182360.9232606826,6033654,,04/20/2020,Tower Hamlets Local History Library and Archives,,E05009317,Bethnal Green,,,,https://www.towerhamlets.gov.uk/lgnl/leisure_and_culture/local_history/local_history__archives/local_history__archives.aspx
Tower Hamlets,Archives,,Cambridge Heath Road,,,,E09000030,Tower Hamlets,,,535022.963292863,,,E09000030,51.5290553112319,-0.0548819552241559,182919.92310793896,6039165,,04/20/2020,V & A Museum of Childhood,,E05009317,Bethnal Green,,,,https://www.vam.ac.uk/moc/
Tower Hamlets,Archives,,St Margaret's House Settlement ,21 Old Ford Rd,,,E09000030,Tower Hamlets,,,535046.9632863855,,,E09000030,51.52999311599149,-0.054495932258682246,183024.92307937646,6040154,,04/20/2020,Unfinished Histories,,E05009331,St. Peter's,,,,http://www.unfinishedhistories.com/
Tower Hamlets,Archives,,42-44 Copperfield Road,,,,E09000030,Tower Hamlets,,,536375.9629242609,,,E09000030,51.51907944206983,-0.03580471959488261,181845.92340129847,6048178,,04/20/2020,Matt's Gallery,,E05009327,Mile End,,,,https://www.mattsgallery.org/
